Short Name,Playing role,Major teams,Current age,Batting style,Fielding position,Height,Born,Relation,Education,Nickname,Full name,current_team,bowl_arm,bowl_style
GD McGrath,Bowler,"Australia,",46 years 265 days,Right-hand bat,,1.95 m,"February 9, 1970, Dubbo, New South Wales ",,Narromine Primary; Narromine High School,"Pigeon, Millard",Glenn Donald McGrath,Delhi Daredevils,Right-arm,fast-medium
B Geeves,Bowler,"Australia,",34 years 140 days,Right-hand bat,,1.85 m,"June 13, 1982, Claremont, Tasmania ",,,Banger,Brett Geeves,NA,Right-arm,fast-medium
MF Maharoof,Allrounder,"Sri Lanka,",32 years 54 days,Right-hand bat,,,"September 7, 1984, Colombo ",,,,Mohamed Farveez Maharoof,Delhi Daredevils,Right-arm,fast-medium
R Bhatia,Allrounder,"Delhi,",37 years 9 days,Right-hand bat,,,"October 22, 1979, Delhi ",,,,Rajat Bhatia,Rising Pune Supergiants,Right-arm,medium-fast
DL Vettori,Allrounder,"New Zealand,",37 years 278 days,Left-hand bat,,,"January 27, 1979, Auckland ","Uncle - AJ Hill,",,,Daniel Luca Vettori,Royal Challengers Bangalore,Left-arm,slow
MM Patel,Bowler,"India,",33 years 111 days,Right-hand bat,,,"July 12, 1983, Ikhar, Gujarat ",,,,Munaf Musa Patel,Mumbai Indians,Right-arm,medium-fast
L Ronchi,Wicketkeeper batsman,"Australia,",35 years 191 days,Right-hand bat,,1.80 m,"April 23, 1981, Dannevirke, Manawatu, New Zealand ",,,Rock,Luke Ronchi,Mumbai Indians,Right-arm,
ST Jayasuriya,Allrounder,"Sri Lanka,",47 years 123 days,Left-hand bat,,,"June 30, 1969, Matara ",,,,Sanath Teran Jayasuriya,Mumbai Indians,Left-arm,slow
DJ Thornely,Top-order batsman,"Hampshire,",38 years 30 days,Right-hand bat,,1.97 m,"October 1, 1978, Albury, New South Wales ",,,DT,Dominic John Thornely,Mumbai Indians,Right-arm,medium
RV Uthappa,Batsman,"India,",30 years 355 days,Right-hand bat,,,"November 11, 1985, Coorg, Karnataka ",,,,Robin VenUthappa,Kolkata Knight Riders,Right-arm,medium
PR Shah,Wicketkeeper batsman,"Baroda,",28 years 363 days,Right-hand bat,,,"November 3, 1987, Baroda, Gujarat ",,,,Pinal Rohitbhai Shah,Rajasthan Royals,Right-arm,
AM Nayar,Allrounder,"India,",33 years 23 days,Left-hand bat,,,"October 8, 1983, Secunderabad, Hyderabad ",,,,Abhishek Mohan Nayar,Rajasthan Royals,Right-arm,medium
SM Pollock,Allrounder,"South Africa,",43 years 107 days,Right-hand bat,,,"July 16, 1973, Port Elizabeth, Cape Province ","Grandfather - AM Pollock,",,,Shaun Maclean Pollock,Mumbai Indians,Right-arm,fast-medium
Harbhajan Singh,Bowler,"India,",36 years 120 days,Right-hand bat,,,"July 3, 1980, Jullundur (now Jalandhar), Punjab ",,,,Harbhajan Singh,Mumbai Indians,Right-arm,offbreak
S Chanderpaul,Batsman,"West Indies,",42 years 76 days,Left-hand bat,,,"August 16, 1974, Unity Village, East Coast, Demerara, Guyana ",Son - T Chanderpaul,,,Shivnarine Chanderpaul,Royal Challengers Bangalore,Left-arm,legbreak
LRPL Taylor,Middle-order batsman,"New Zealand,",32 years 237 days,Right-hand bat,,,"March 8, 1984, Lower Hutt, Wellington ",,,,LuterRoss Poutoa Lote Taylor,Delhi Daredevils,Right-arm,offbreak
R Vinay Kumar,Bowler,"India,",32 years 262 days,Right-hand bat,,,"February 12, 1984, Davanagere, Karnataka ",,,,Ranganath Vinay Kumar,Mumbai Indians,Right-arm,medium
A Nehra,Bowler,"India,",37 years 185 days,Right-hand bat,,,"April 29, 1979, Delhi ",,,,Ashish Nehra,Sunrisers Hyderabad,Left-arm,medium-fast
DS Kulkarni,Bowler,"India,",27 years 326 days,Right-hand bat,,,"December 10, 1988, Bombay (now Mumbai), Maharashtra ",,,,Dhawal Sunil Kulkarni,Gujarat Lions,Right-arm,medium
AC Gilchrist,Wicketkeeper batsman,"Australia,",44 years 352 days,Left-hand bat,,1.86 m,"November 14, 1971, Bellingen, New South Wales ",,,"Gilly, Churchy",Adam Craig Gilchrist,Kings XI Punjab,Right-arm,offbreak
Y Venugopal Rao,Middle-order batsman,"India,",34 years 248 days,Right-hand bat,,,"February 26, 1982, Visakhapatnam, Andhra Pradesh ",Brother - Y Gnaneswara Rao,,,Yalaka Venugopal Rao,Sunrisers Hyderabad,Right-arm,offbreak
VVS Laxman,Top-order batsman,"India,",41 years 365 days,Right-hand bat,,,"November 1, 1974, Hyderabad, Andhra Pradesh ",,"Little Flower High School, St. John's School",Very Very Special,VangipurappVenkata Sai Laxman,Kochi Tuskers Kerala,Right-arm,offbreak
A Symonds,Allrounder,"Australia,",41 years 144 days,Right-hand bat,,1.87 m,"June 9, 1975, Birmingham, Warwickshire, England ",,,Roy,Andrew Symonds,Mumbai Indians,Right-arm,medium
