Short Name,Playing role,Major teams,Current age,Batting style,Fielding position,Height,Born,Relation,Education,Nickname,Full name,current_team,bowl_arm,bowl_style
Imran Tahir,Bowler,"South Africa,",37 years 218 days,Right-hand bat,,,"March 27, 1979, Lahore, Punjab ",,,,Mohammad Imran Tahir,Delhi Daredevils,Right-arm,legbreak
LMP Simmons,Top-order batsman,"West Indies,",31 years 280 days,Right-hand bat,,,"January 25, 1985, Port of Spain, Trinidad ",Uncle - PV Simmons,,,Lendl Mark Platter Simmons,Mumbai Indians,Right-arm,medium-fast
VH Zol,,"India A,",21 years 343 days,Left-hand bat,,,"November 23, 1994, Jalna, Maharashtra ",,,,Vijay Hari Zol,Royal Challengers Bangalore,Right-arm,offbreak
V Shankar,Middle-order batsman,"Chennai Super Kings,",25 years 279 days,Right-hand bat,,,"January 26, 1991, Tirunelveli, Tamil Nad",,,,Vijay Shankar,NA,Right-arm,medium
BCJ Cutting,Allrounder,"Australia,",29 years 275 days,Right-hand bat,,1.92 m,"January 30, 1987, Sunnybank, Brisbane, Queensland ",,Sunnybank Hills State School; Brisbane Grammar School,Cutsy,Benjamin Colin James Cutting,Sunrisers Hyderabad,Right-arm,fast-medium
K Santokie,Bowler,"West Indies,",31 years 316 days,Left-hand bat,,,"December 20, 1984, Clarendon, Jamaica ",,,,Krishmar Santokie,NA,Left-arm,medium
S Gopal,Allrounder,"India Under-19s,",23 years 57 days,Right-hand bat,,,9/4/1993,,,,Shreyas Gopal,Mumbai Indians,Right-arm,legbreak
BE Hendricks,Bowler,"South Africa,",26 years 145 days,Left-hand bat,,,"June 8, 1990, Louis Leipoldt Hospital, Bellville, Cape Town ",,,,Beuran Eric Hendricks,Kings XI Punjab,Left-arm,fast-medium
PJ Cummins,Bowler,"Australia,",23 years 176 days,Right-hand bat,,1.92 m,"May 8, 1993, Westmead, Sydney ",,,Cummo,Patrick James Cummins,Kolkata Knight Riders,Right-arm,fast
JW Hastings,Allrounder,"Australia,",30 years 362 days,Right-hand bat,,1.95 m,"November 4, 1985, Penrith, New South Wales ",,,The Duke,John Wayne Hastings,NA,Right-arm,fast-medium
Karanveer Singh,,"Chandigarh Lions,",28 years 358 days,Right-hand bat,,,"November 8, 1987, Chandigarh, Punjab ",,,,Karanveer Singh,Kings XI Punjab,Right-arm,legbreak
SS Iyer,Top-order batsman,"Delhi Daredevils,",21 years 330 days,Right-hand bat,,,"December 6, 1994, Mumbai ",,,,Shreyas Santosh Iyer,Delhi Daredevils,Right-arm,legbreak
DJ Muthuswami,,"Delhi Daredevils,",35 years 236 days,Right-hand bat,,,"March 9, 1981, Pune, Maharashtra ",,,,Domnic Joseph Muthuswami,Delhi Daredevils,Right-arm,medium
DJ Hooda,Allrounder,"Baroda,",21 years 195 days,Right-hand bat,,,"April 19, 1995, Rohtak ",,,,Deepak Jagbir Hooda,Sunrisers Hyderabad,Right-arm,offbreak
KS Williamson,Top-order batsman,"New Zealand,",26 years 84 days,Right-hand bat,,,"August 8, 1990, Tauranga ",Cousin - D Cleaver,,,Kane Stuart Williamson,Sunrisers Hyderabad,Right-arm,offbreak
TA Boult,Bowler,"New Zealand,",27 years 101 days,Right-hand bat,,,"July 22, 1989, Rotorua ",Brother - JJ Boult,,,Trent Alexander Boult,NA,Left-arm,fast-medium
SA Abbott,Bowler,"Australia Under-19s,",24 years 245 days,Right-hand bat,,,"February 29, 1992, Windsor, New South Wales ",,,,Sean Anthony Abbott,Royal Challengers Bangalore,Right-arm,fast-medium
KC Cariappa,Bowler,"Bijapur Bulls,",22 years 201 days,Right-hand bat,,,"April 13, 1994, Bangalore, Karnataka ",,,,Konganda Charamanna Cariappa,Kings XI Punjab,Right-arm,legbreak
J Suchith,Bowler,"Karnataka State Cricket Association XI,",22 years 289 days,Left-hand bat,,,"January 16, 1994, Mysore ",,,,Jagadeesha Suchith,Mumbai Indians,Left-arm,slow
RG More,,"Australian Institute of Sport,",24 years 272 days,Right-hand bat,,,"February 2, 1992, Belgaum, Karnataka ",,,,Ronit Gajanan More,Chennai Super Kings,Right-arm,medium
HH Pandya,Allrounder,"India,",23 years 20 days,Right-hand bat,,,"October 11, 1993, Choryasi, Gujarat ",Brother - KH Pandya,,,Hardik HimanshPandya,Mumbai Indians,Right-arm,medium-fast
D Wiese,Allrounder,"South Africa,",31 years 166 days,Right-hand bat,,,"May 18, 1985, Roodepoort ",,Witbank High,,David Wiese,Royal Challengers Bangalore,Right-arm,medium-fast
MJ McClenaghan,Bowler,"New Zealand,",30 years 142 days,Left-hand bat,,,"June 11, 1986, Hastings, Hawke's Bay ",,,,Mitchell John McClenaghan,Mumbai Indians,Left-arm,fast-medium
SN Khan,Middle-order batsman,"India Under-19s,",19 years 4 days,Right-hand bat,,,"October 27, 1997, Mumbai ",,,,Sarfaraz Naushad Khan,Royal Challengers Bangalore,Right-arm,legbreak
SN Thakur,Bowler,"Kings XI Punjab,",25 years 15 days,Right-hand bat,,,"October 16, 1991, Palghar, Maharashtra ",,,,Shardul Narendra Thakur,Kings XI Punjab,Right-arm,medium
GS Sandhu,Bowler,"Australia,",23 years 139 days,Left-hand bat,,,"June 14, 1993, Blacktown, New South Wales ",,,,Gurinder Singh Sandhu,NA,Right-arm,fast-medium
J Yadav,Bowler,"India,",26 years 283 days,Right-hand bat,,,"January 22, 1990, Delhi ",,,,Jayant Yadav,Delhi Daredevils,Right-arm,offbreak
BB Sran,Bowler,"India,",23 years 326 days,Left-hand bat,,,"December 10, 1992, Sirsa ",,,,Barinder Balbirsingh Sran,Sunrisers Hyderabad,Left-arm,medium
JC Buttler,Wicketkeeper batsman,"England,",26 years 53 days,Right-hand bat,,,"September 8, 1990, Taunton, Somerset ",,,,Joseph Charles Buttler,Mumbai Indians,Right-arm,
M Ashwin,Bowler,"Rising Pune Supergiants,",26 years 53 days,Right-hand bat,,,"September 8, 1990, Chennai, Tamil Nad",,,,Murugan Ashwin,Rising Pune Supergiants,Right-arm,legbreak
CR Brathwaite,Allrounder,"West Indies,",28 years 105 days,Right-hand bat,,,"July 18, 1988, Barbados ",,,,Carlos Ricardo Brathwaite,Delhi Daredevils,Right-arm,fast-medium
C Munro,Middle-order batsman,"New Zealand,",29 years 234 days,Left-hand bat,,,"March 11, 1987, Durban ",,,,Colin Munro,Kolkata Knight Riders,Right-arm,medium-fast
MP Stoinis,Middle-order batsman,"Australia,",27 years 76 days,Right-hand bat,,,8/16/1989,,,,Marcus Peter Stoinis,Kings XI Punjab,Right-arm,medium
Ishan Kishan,Opening batsman,"Gujarat Lions,",18 years 105 days,Left-hand bat,,,"July 18, 1998, Patna, Bihar ",,,,Ishan Pranav Kumar Pandey Kishan,Gujarat Lions,Left-arm,
P Sahu,Allrounder,"Haryana,",31 years 71 days,Right-hand bat,,,"August 21, 1985, Bhiwani ",,,,Pardeep Sahu,Kings XI Punjab,Right-arm,legbreak
Mustafizur Rahman,Bowler,"Bangladesh,",21 years 55 days,Left-hand bat,,5 ft 11 in,"September 6, 1995, Satkhira ",,,,Mustafizur Rahman,NA,Left-arm,fast-medium
AF Milne,Bowler,"New Zealand,",24 years 201 days,Right-hand bat,,,"April 13, 1992, Palmerston North ",,,,Adam Fraser Milne,NA,Right-arm,fast
Kuldeep Yadav,Bowler,"Central Zone,",21 years 322 days,Left-hand bat,,,"December 14, 1994, Kanpur, Uttar Pradesh ",,,,Kuldeep Yadav,NA,Left-arm,slow
KH Pandya,Allrounder,"Baroda Cricket Association XI,",25 years 221 days,Left-hand bat,,,"March 24, 1991, Ahmedabad, Gujarat ",Brother - HH Pandya,,,Krunal HimanshPandya,Mumbai Indians,Left-arm,slow
AD Nath,Middle-order batsman,"Gujarat Lions,",23 years 174 days,Right-hand bat,,,"May 10, 1993, Lucknow ",,,,Akshdeep Deependra Nath,Gujarat Lions,Right-arm,medium-fast
KJ Abbott,Bowler,"South Africa,",29 years 135 days,Right-hand bat,,,"June 18, 1987, Empangeni, KwaZulu-Natal ",,,,Kyle John Abbott,Kings XI Punjab,Right-arm,fast-medium
MJ Guptill,Opening batsman,"New Zealand,",30 years 31 days,Right-hand bat,,,"September 30, 1986, Auckland ",,,,Martin James Guptill,Mumbai Indians,Right-arm,offbreak
TM Head,Middle-order batsman,"Australia,",22 years 307 days,Left-hand bat,,,12/29/1993,,,,Travis Michael Head,Royal Challengers Bangalore,Right-arm,offbreak
T Shamsi,Bowler,"Dolphins,",26 years 256 days,Right-hand bat,,,"February 18, 1990, Johannesburg, Gauteng ",,,,Tabraiz Shamsi,NA,Left-arm,slow
NS Naik,Wicketkeeper batsman,"Kings XI Punjab,",21 years 357 days,Right-hand bat,,,"November 9, 1994, Savantwadi, Maharashtra ",,,,Nikhil Shankar Naik,Kings XI Punjab,Right-arm,
RR Pant,Wicketkeeper batsman,"Delhi,",19 years 27 days,Left-hand bat,,,"October 4, 1997, Haridwar, Uttarakhand ",,,,Rishabh Rajendra Pant,Delhi Daredevils,Left-arm,
S Kaushik,Bowler,"Gujarat Lions,",21 years 54 days,Right-hand bat,,,9/7/1995,,,,Shivil Kaushik,Gujarat Lions,Left-arm,slow
SW Billings,Wicketkeeper batsman,"England,",25 years 138 days,Right-hand bat,,,"June 15, 1991, Pembury, Kent ",,,,Samuel William Billings,Delhi Daredevils,Right-arm,
PSP Handscomb,Top-order batsman,"Australia Under-19s,",25 years 188 days,Right-hand bat,,,"April 26, 1991, Melbourne, Victoria ",,,,Peter Stephen Patrick Handscomb,Rising Pune Supergiants,Right-arm,
SM Boland,Bowler,"Australia,",27 years 203 days,Right-hand bat,,,4/11/1989,,,,Scott Michael Boland,NA,Right-arm,fast-medium
Swapnil Singh,Bowler,"Baroda,",25 years 283 days,Right-hand bat,,,"January 22, 1991, Rae Bareilly, Uttar Pradesh ",,,,Swapnil Singh,Kings XI Punjab,Left-arm,slow
UT Khawaja,Top-order batsman,"Australia,",29 years 318 days,Left-hand bat,,1.75 m,"December 18, 1986, Islamabad, Pakistan ",,,Usie,Usman Tariq Khawaja,Rising Pune Supergiants,Right-arm,medium
CJ Jordan,Bowler,"England,",28 years 27 days,Right-hand bat,,6 ft 2 in,"October 4, 1988, Barbados ",,Dulwich College,CJ,Christopher James Jordan,Royal Challengers Bangalore,Right-arm,fast-medium
A Zampa,Bowler,"Adelaide Strikers,",24 years 214 days,Right-hand bat,,,"March 31, 1992, Shellharbour, New South Wales ",,,,Adam Zampa,Rising Pune Supergiants,Right-arm,legbreak
HM Amla,Top-order batsman,"South Africa,",33 years 214 days,Right-hand bat,,,"March 31, 1983, Durban, Natal ",Brother - AM Amla,,,Hashim Mahomed Amla,Kings XI Punjab,Right-arm,medium
F Behardien,Batting allrounder,"South Africa,",33 years 22 days,Right-hand bat,,,"October 9, 1983, Johannesburg ",,,Abadi,Farhaan Behardien,Kings XI Punjab,Right-arm,fast-medium
N Rana,Middle-order batsman,"Delhi,",22 years 309 days,Left-hand bat,,,"December 27, 1993, Delhi ",,,,Nitish Rana,Mumbai Indians,Right-arm,offbreak
DL Chahar,Bowler,"Rajasthan,",24 years 85 days,Right-hand bat,,,"August 7, 1992, Agra, Uttar Pradesh ",,,,Deepak Lokandersingh Chahar,NA,Right-arm,medium
ER Dwivedi,Wicketkeeper,"Chennai Super Kings,",28 years 101 days,Right-hand bat,,,"July 22, 1988, Allahabad ",,,,Eklavya Rakesh Dwivedi,Gujarat Lions,Right-arm,
