batsman,non striker,batting,fielding
MS Bisla,JH Kallis,Kolkata Knight Riders,Rajasthan Royals
JA Morkel,MS Dhoni,Chennai Super Kings,Deccan Chargers
DT Christian,A Mishra,Deccan Chargers,Chennai Super Kings
G Gambhir,DA Warner,Delhi Daredevils,Kings XI Punjab
DA Warner,PD Collingwood,Delhi Daredevils,Kings XI Punjab
AB de Villiers,KD Karthik,Royal Challengers Bangalore,Rajasthan Royals
KD Karthik,SN Khan,Royal Challengers Bangalore,Rajasthan Royals
HV Patel,SN Khan,Royal Challengers Bangalore,Rajasthan Royals
G Gambhir,RV Uthappa,Kolkata Knight Riders,Chennai Super Kings
M Kartik,WP Saha,Kolkata Knight Riders,Delhi Daredevils
V Kohli,PA Patel,Royal Challengers Bangalore,Delhi Daredevils
KM Jadhav,R Shukla,Delhi Daredevils,Royal Challengers Bangalore
KD Karthik,SR Tendulkar,Mumbai Indians,Delhi Daredevils
GH Vihari,S Dhawan,Sunrisers Hyderabad,Chennai Super Kings
PA Patel,V Kohli,Royal Challengers Bangalore,Rajasthan Royals
SV Samson,KK Nair,Rajasthan Royals,Royal Challengers Bangalore
YK Pathan,RV Uthappa,Kolkata Knight Riders,Royal Challengers Bangalore
Yuvraj Singh,DPMD Jayawardene,Kings XI Punjab,Kolkata Knight Riders
V Sehwag,JR Hopes,Delhi Daredevils,Royal Challengers Bangalore
AB de Villiers,V Kohli,Royal Challengers Bangalore,Delhi Daredevils
MS Dhoni,SK Raina,Chennai Super Kings,Kings XI Punjab
A Mishra,DB Ravi Teja,Deccan Chargers,Kochi Tuskers Kerala
AJ Finch,RA Jadeja,Gujarat Lions,Kolkata Knight Riders
IK Pathan,S Sohal,Kings XI Punjab,Mumbai Indians
S Sohal,KC Sangakkara,Kings XI Punjab,Mumbai Indians
PP Chawla,K Goel,Kings XI Punjab,Mumbai Indians
DB Das,YK Pathan,Kolkata Knight Riders,Mumbai Indians
SN Khan,V Kohli,Royal Challengers Bangalore,Delhi Daredevils
KP Pietersen,M Vijay,Delhi Daredevils,Kolkata Knight Riders
Y Venugopal Rao,Shahid Afridi,Deccan Chargers,Chennai Super Kings
JP Duminy,DT Christian,Deccan Chargers,Delhi Daredevils
AD Russell,RN ten Doeschate,Kolkata Knight Riders,Royal Challengers Bangalore
SR Watson,KL Rahul,Royal Challengers Bangalore,Mumbai Indians
NV Ojha,KL Rahul,Sunrisers Hyderabad,Kings XI Punjab
DJ Hussey,P Dogra,Kings XI Punjab,Kolkata Knight Riders
KC Sangakkara,Yuvraj Singh,Kings XI Punjab,Kolkata Knight Riders
SK Raina,MS Dhoni,Chennai Super Kings,Kolkata Knight Riders
MS Bisla,EJG Morgan,Kolkata Knight Riders,Chennai Super Kings
Y Venugopal Rao,RG Sharma,Deccan Chargers,Royal Challengers Bangalore
SK Warne,M Morkel,Rajasthan Royals,Deccan Chargers
Harmeet Singh,RG Sharma,Deccan Chargers,Rajasthan Royals
A Chopra,SC Ganguly,Kolkata Knight Riders,Deccan Chargers
AD Mathews,SPD Smith,Pune Warriors,Rajasthan Royals
FY Fazal,AC Voges,Rajasthan Royals,Kings XI Punjab
P Dogra,AC Voges,Rajasthan Royals,Kings XI Punjab
IK Pathan,DPMD Jayawardene,Kings XI Punjab,Rajasthan Royals
RG Sharma,A Symonds,Deccan Chargers,Kings XI Punjab
TL Suman,Jaskaran Singh,Deccan Chargers,Kings XI Punjab
MS Bisla,RS Bopara,Kings XI Punjab,Deccan Chargers
NM Coulter-Nile,AD Mathews,Delhi Daredevils,Kolkata Knight Riders
LRPL Taylor,RV Uthappa,Pune Warriors,Mumbai Indians
L Balaji,SK Raina,Chennai Super Kings,Royal Challengers Bangalore
F du Plessis,MS Dhoni,Chennai Super Kings,Rajasthan Royals
AM Nayar,AM Rahane,Rajasthan Royals,Chennai Super Kings
PV Tambe,DS Kulkarni,Rajasthan Royals,Chennai Super Kings
J Yadav,CH Morris,Delhi Daredevils,Royal Challengers Bangalore
Ishan Kishan,RA Jadeja,Gujarat Lions,Delhi Daredevils
DPMD Jayawardene,KM Jadhav,Delhi Daredevils,Royal Challengers Bangalore
AB de Villiers,V Kohli,Royal Challengers Bangalore,Delhi Daredevils
KB Arun Karthik,V Kohli,Royal Challengers Bangalore,Delhi Daredevils
Y Nagar,V Sehwag,Delhi Daredevils,Kochi Tuskers Kerala
IK Pathan,RE van der Merwe,Delhi Daredevils,Kochi Tuskers Kerala
PP Chawla,DJ Hussey,Kings XI Punjab,Sunrisers Hyderabad
MS Gony,Gurkeerat Singh,Kings XI Punjab,Sunrisers Hyderabad
M Vijay,MEK Hussey,Chennai Super Kings,Delhi Daredevils
Yuvraj Singh,DPMD Jayawardene,Kings XI Punjab,Delhi Daredevils
PP Chawla,IK Pathan,Kings XI Punjab,Delhi Daredevils
AM Rahane,SR Watson,Rajasthan Royals,Chennai Super Kings
MEK Hussey,SK Raina,Chennai Super Kings,Kolkata Knight Riders
SR Watson,VR Aaron,Royal Challengers Bangalore,Kolkata Knight Riders
