Team Name,Year,Over,Total Runs Scored,Total Wickets taken,Total Bowls bowled,Run rate,Wicket rate
Chennai Super Kings,2009,12,106,1,87,7.3103448276,0.0689655172
Mumbai Indians,2010,4,159,5,110,8.6727272727,0.2727272727
Kings XI Punjab,2009,2,89,3,90,5.9333333333,0.2
Rajasthan Royals,2009,19,76,3,69,6.6086956522,0.2608695652
Rajasthan Royals,2008,7,131,6,105,7.4857142857,0.3428571429
Kolkata Knight Riders,2008,2,106,3,84,7.5714285714,0.2142857143
Royal Challengers Bangalore,2010,6,155,2,101,9.2079207921,0.1188118812
Delhi Daredevils,2014,11,122,1,84,8.7142857143,0.0714285714
Sunrisers Hyderabad,2014,15,136,3,83,9.8313253012,0.2168674699
Royal Challengers Bangalore,2014,16,151,3,83,10.9156626506,0.2168674699
Sunrisers Hyderabad,2016,17,131,6,101,7.7821782178,0.3564356436
Deccan Chargers,2008,16,108,1,80,8.1,0.075
Kochi Tuskers Kerala,2011,19,94,9,61,9.2459016393,0.8852459016
Mumbai Indians,2014,15,128,5,89,8.6292134831,0.3370786517
Delhi Daredevils,2016,10,109,7,87,7.5172413793,0.4827586207
Kolkata Knight Riders,2012,7,116,5,106,6.5660377358,0.2830188679
Pune Warriors,2011,9,80,6,79,6.0759493671,0.4556962025
Delhi Daredevils,2011,20,115,7,65,10.6153846154,0.6461538462
Chennai Super Kings,2009,17,138,5,85,9.7411764706,0.3529411765
Chennai Super Kings,2008,9,112,7,90,7.4666666667,0.4666666667
Mumbai Indians,2011,1,108,0,98,6.612244898,0
Kings XI Punjab,2008,15,142,5,86,9.9069767442,0.3488372093
Rajasthan Royals,2008,18,101,8,72,8.4166666667,0.6666666667
Rajasthan Royals,2011,8,103,4,80,7.725,0.3
Kolkata Knight Riders,2015,1,85,2,84,6.0714285714,0.1428571429
Royal Challengers Bangalore,2011,7,92,5,99,5.5757575758,0.303030303
Delhi Daredevils,2015,14,119,8,88,8.1136363636,0.5454545455
Sunrisers Hyderabad,2015,14,91,1,81,6.7407407407,0.0740740741
Royal Challengers Bangalore,2015,13,93,1,71,7.8591549296,0.0845070423
Delhi Daredevils,2012,2,155,3,114,8.1578947368,0.1578947368
Rajasthan Royals,2008,12,141,9,102,8.2941176471,0.5294117647
Kings XI Punjab,2015,11,84,3,78,6.4615384615,0.2307692308
Rising Pune Supergiants,2016,7,106,1,87,7.3103448276,0.0689655172
Chennai Super Kings,2008,20,146,8,73,12,0.6575342466
Chennai Super Kings,2011,10,119,3,96,7.4375,0.1875
Mumbai Indians,2008,2,138,1,92,9,0.0652173913
Rajasthan Royals,2011,17,63,2,61,6.1967213115,0.1967213115
Kolkata Knight Riders,2014,4,122,2,97,7.5463917526,0.1237113402
Royal Challengers Bangalore,2008,8,95,4,86,6.6279069767,0.2790697674
Delhi Daredevils,2008,13,122,2,81,9.037037037,0.1481481481
Royal Challengers Bangalore,2012,14,152,2,96,9.5,0.125
Royal Challengers Bangalore,2013,20,167,9,73,13.7260273973,0.7397260274
Delhi Daredevils,2013,3,127,4,100,7.62,0.24
Mumbai Indians,2012,13,132,3,105,7.5428571429,0.1714285714
Rajasthan Royals,2013,5,142,4,112,7.6071428571,0.2142857143
Chennai Super Kings,2011,19,163,6,92,10.6304347826,0.3913043478
Kolkata Knight Riders,2016,3,147,5,93,9.4838709677,0.3225806452
Mumbai Indians,2009,7,68,0,80,5.1,0
Rajasthan Royals,2010,16,94,4,79,7.1392405063,0.3037974684
Kolkata Knight Riders,2013,3,121,4,99,7.3333333333,0.2424242424
Royal Challengers Bangalore,2009,9,92,4,103,5.359223301,0.2330097087
Delhi Daredevils,2009,16,126,4,86,8.7906976744,0.2790697674
Sunrisers Hyderabad,2013,12,118,4,106,6.679245283,0.2264150943
Deccan Chargers,2012,18,172,9,88,11.7272727273,0.6136363636
Royal Challengers Bangalore,2013,11,146,1,92,9.5217391304,0.0652173913
Royal Challengers Bangalore,2010,19,131,6,73,10.7671232877,0.4931506849
Delhi Daredevils,2014,4,120,3,85,8.4705882353,0.2117647059
Chennai Super Kings,2013,3,107,6,114,5.6315789474,0.3157894737
Sunrisers Hyderabad,2014,8,97,1,79,7.3670886076,0.0759493671
Kings XI Punjab,2013,8,123,4,101,7.3069306931,0.2376237624
Mumbai Indians,2013,4,147,7,119,7.4117647059,0.3529411765
Kings XI Punjab,2012,17,130,10,95,8.2105263158,0.6315789474
Rajasthan Royals,2012,8,97,4,99,5.8787878788,0.2424242424
Kolkata Knight Riders,2011,19,96,5,58,9.9310344828,0.5172413793
Royal Challengers Bangalore,2014,5,86,1,84,6.1428571429,0.0714285714
Chennai Super Kings,2010,14,135,5,95,8.5263157895,0.3157894737
Mumbai Indians,2012,10,100,3,104,5.7692307692,0.1730769231
Kochi Tuskers Kerala,2011,10,77,4,78,5.9230769231,0.3076923077
Mumbai Indians,2014,8,101,3,94,6.4468085106,0.1914893617
Kings XI Punjab,2016,6,104,4,87,7.1724137931,0.275862069
Delhi Daredevils,2010,15,89,4,85,6.2823529412,0.2823529412
Gujarat Lions,2016,15,112,4,92,7.3043478261,0.2608695652
Deccan Chargers,2012,9,97,2,93,6.2580645161,0.1290322581
Deccan Chargers,2011,17,143,5,84,10.2142857143,0.3571428571
Mumbai Indians,2012,7,114,2,106,6.4528301887,0.1132075472
Pune Warriors,2011,2,89,1,86,6.2093023256,0.0697674419
Pune Warriors,2012,18,159,11,100,9.54,0.66
Royal Challengers Bangalore,2010,12,113,6,91,7.4505494505,0.3956043956
Royal Challengers Bangalore,2011,18,143,5,74,11.5945945946,0.4054054054
Delhi Daredevils,2015,5,96,5,87,6.6206896552,0.3448275862
Chennai Super Kings,2012,2,113,3,115,5.8956521739,0.1565217391
Sunrisers Hyderabad,2015,5,130,5,85,9.1764705882,0.3529411765
Mumbai Indians,2015,14,135,5,99,8.1818181818,0.303030303
Mumbai Indians,2012,20,126,9,76,9.9473684211,0.7105263158
Kings XI Punjab,2012,16,134,7,96,8.375,0.4375
Kings XI Punjab,2011,18,94,5,85,6.6352941176,0.3529411765
Rajasthan Royals,2015,7,108,2,83,7.8072289157,0.1445783133
Kolkata Knight Riders,2011,12,96,2,86,6.6976744186,0.1395348837
Kolkata Knight Riders,2010,18,132,1,81,9.7777777778,0.0740740741
Royal Challengers Bangalore,2015,8,105,6,87,7.2413793103,0.4137931034
Mumbai Indians,2016,1,80,3,84,5.7142857143,0.2142857143
Sunrisers Hyderabad,2016,3,130,1,105,7.4285714286,0.0571428571
Royal Challengers Bangalore,2016,7,118,0,98,7.2244897959,0
Mumbai Indians,2015,5,126,6,99,7.6363636364,0.3636363636
Delhi Daredevils,2011,2,82,6,88,5.5909090909,0.4090909091
Deccan Chargers,2011,10,89,3,84,6.3571428571,0.2142857143
Deccan Chargers,2010,20,91,8,64,8.53125,0.75
Delhi Daredevils,2016,13,115,5,87,7.9310344828,0.3448275862
Royal Challengers Bangalore,2011,9,146,4,102,8.5882352941,0.2352941176
Royal Challengers Bangalore,2008,17,116,4,75,9.28,0.32
Delhi Daredevils,2008,6,115,4,87,7.9310344828,0.275862069
Chennai Super Kings,2015,1,104,4,104,6,0.2307692308
