partner_name,team,partnership,winner,loser
KM Jadhav- R Vinay Kumar,team_Kochi Tuskers Kerala,6,winner_Rajasthan Royals,loser_Kochi Tuskers Kerala
KM Jadhav- M Muralitharan,team_Kochi Tuskers Kerala,10,winner_Rajasthan Royals,loser_Kochi Tuskers Kerala
M Muralitharan- RP Singh,team_Kochi Tuskers Kerala,1,winner_Rajasthan Royals,loser_Kochi Tuskers Kerala
R Dravid- SR Watson,team_Rajasthan Royals,72,winner_Rajasthan Royals,loser_Kochi Tuskers Kerala
J Botha- SR Watson,team_Rajasthan Royals,34,winner_Rajasthan Royals,loser_Kochi Tuskers Kerala
J Botha- LRPL Taylor,team_Rajasthan Royals,6,winner_Rajasthan Royals,loser_Kochi Tuskers Kerala
DJ Jacobs- SR Tendulkar,team_Mumbai Indians,53,winner_Mumbai Indians,loser_Deccan Chargers
AT Rayudu- SR Tendulkar,team_Mumbai Indians,23,winner_Mumbai Indians,loser_Deccan Chargers
AT Rayudu- KA Pollard,team_Mumbai Indians,0,winner_Mumbai Indians,loser_Deccan Chargers
KA Pollard- RG Sharma,team_Mumbai Indians,0,winner_Mumbai Indians,loser_Deccan Chargers
A Symonds- RG Sharma,team_Mumbai Indians,102,winner_Mumbai Indians,loser_Deccan Chargers
S Dhawan- S Sohal,team_Deccan Chargers,116,winner_Mumbai Indians,loser_Deccan Chargers
KC Sangakkara- S Dhawan,team_Deccan Chargers,27,winner_Mumbai Indians,loser_Deccan Chargers
CL White- KC Sangakkara,team_Deccan Chargers,13,winner_Mumbai Indians,loser_Deccan Chargers
B Chipli- KC Sangakkara,team_Deccan Chargers,16,winner_Mumbai Indians,loser_Deccan Chargers
DT Christian- KC Sangakkara,team_Deccan Chargers,23,winner_Mumbai Indians,loser_Deccan Chargers
DB Ravi Teja- DT Christian,team_Deccan Chargers,6,winner_Mumbai Indians,loser_Deccan Chargers
A Mishra- DB Ravi Teja,team_Deccan Chargers,2,winner_Mumbai Indians,loser_Deccan Chargers
A Mishra- DW Steyn,team_Deccan Chargers,27,winner_Mumbai Indians,loser_Deccan Chargers
A Mishra- I Sharma,team_Deccan Chargers,7,winner_Mumbai Indians,loser_Deccan Chargers
DA Warner- V Sehwag,team_Delhi Daredevils,153,winner_Delhi Daredevils,loser_Kings XI Punjab
DA Warner- Y Nagar,team_Delhi Daredevils,18,winner_Delhi Daredevils,loser_Kings XI Punjab
DA Warner- Y Venugopal Rao,team_Delhi Daredevils,15,winner_Delhi Daredevils,loser_Kings XI Punjab
AJ Finch- Y Venugopal Rao,team_Delhi Daredevils,5,winner_Delhi Daredevils,loser_Kings XI Punjab
NV Ojha- Y Venugopal Rao,team_Delhi Daredevils,47,winner_Delhi Daredevils,loser_Kings XI Punjab
AC Gilchrist- PC Valthaty,team_Kings XI Punjab,72,winner_Delhi Daredevils,loser_Kings XI Punjab
AC Gilchrist- SE Marsh,team_Kings XI Punjab,72,winner_Delhi Daredevils,loser_Kings XI Punjab
KD Karthik- SE Marsh,team_Kings XI Punjab,20,winner_Delhi Daredevils,loser_Kings XI Punjab
DJ Hussey- SE Marsh,team_Kings XI Punjab,36,winner_Delhi Daredevils,loser_Kings XI Punjab
AM Nayar- SE Marsh,team_Kings XI Punjab,31,winner_Delhi Daredevils,loser_Kings XI Punjab
AM Nayar- Sunny Singh,team_Kings XI Punjab,11,winner_Delhi Daredevils,loser_Kings XI Punjab
AM Nayar- RJ Harris,team_Kings XI Punjab,7,winner_Delhi Daredevils,loser_Kings XI Punjab
BJ Haddin- JH Kallis,team_Kolkata Knight Riders,51,winner_Royal Challengers Bangalore,loser_Kolkata Knight Riders
G Gambhir- JH Kallis,team_Kolkata Knight Riders,58,winner_Royal Challengers Bangalore,loser_Kolkata Knight Riders
G Gambhir- YK Pathan,team_Kolkata Knight Riders,37,winner_Royal Challengers Bangalore,loser_Kolkata Knight Riders
EJG Morgan- YK Pathan,team_Kolkata Knight Riders,30,winner_Royal Challengers Bangalore,loser_Kolkata Knight Riders
EJG Morgan- MK Tiwary,team_Kolkata Knight Riders,2,winner_Royal Challengers Bangalore,loser_Kolkata Knight Riders
CH Gayle- TM Dilshan,team_Royal Challengers Bangalore,125,winner_Royal Challengers Bangalore,loser_Kolkata Knight Riders
CH Gayle- V Kohli,team_Royal Challengers Bangalore,52,winner_Royal Challengers Bangalore,loser_Kolkata Knight Riders
R Sathish- SR Tendulkar,team_Mumbai Indians,61,winner_Mumbai Indians,loser_Chennai Super Kings
AT Rayudu- SR Tendulkar,team_Mumbai Indians,4,winner_Mumbai Indians,loser_Chennai Super Kings
AT Rayudu- RG Sharma,team_Mumbai Indians,61,winner_Mumbai Indians,loser_Chennai Super Kings
A Symonds- RG Sharma,team_Mumbai Indians,87,winner_Mumbai Indians,loser_Chennai Super Kings
A Symonds- KA Pollard,team_Mumbai Indians,3,winner_Mumbai Indians,loser_Chennai Super Kings
M Vijay- MEK Hussey,team_Chennai Super Kings,34,winner_Mumbai Indians,loser_Chennai Super Kings
MEK Hussey- SK Raina,team_Chennai Super Kings,7,winner_Mumbai Indians,loser_Chennai Super Kings
MEK Hussey- S Badrinath,team_Chennai Super Kings,60,winner_Mumbai Indians,loser_Chennai Super Kings
MS Dhoni- S Badrinath,team_Chennai Super Kings,3,winner_Mumbai Indians,loser_Chennai Super Kings
S Anirudha- S Badrinath,team_Chennai Super Kings,22,winner_Mumbai Indians,loser_Chennai Super Kings
JA Morkel- S Badrinath,team_Chennai Super Kings,13,winner_Mumbai Indians,loser_Chennai Super Kings
R Ashwin- S Badrinath,team_Chennai Super Kings,0,winner_Mumbai Indians,loser_Chennai Super Kings
Joginder Sharma- S Badrinath,team_Chennai Super Kings,1,winner_Mumbai Indians,loser_Chennai Super Kings
S Badrinath- S Randiv,team_Chennai Super Kings,3,winner_Mumbai Indians,loser_Chennai Super Kings
DE Bollinger- S Badrinath,team_Chennai Super Kings,16,winner_Mumbai Indians,loser_Chennai Super Kings
AC Gilchrist- PC Valthaty,team_Kings XI Punjab,83,winner_Kings XI Punjab,loser_Rajasthan Royals
PC Valthaty- SE Marsh,team_Kings XI Punjab,38,winner_Kings XI Punjab,loser_Rajasthan Royals
KD Karthik- SE Marsh,team_Kings XI Punjab,70,winner_Kings XI Punjab,loser_Rajasthan Royals
AM Nayar- SE Marsh,team_Kings XI Punjab,3,winner_Kings XI Punjab,loser_Rajasthan Royals
R McLaren- SE Marsh,team_Kings XI Punjab,5,winner_Kings XI Punjab,loser_Rajasthan Royals
R McLaren- Sunny Singh,team_Kings XI Punjab,7,winner_Kings XI Punjab,loser_Rajasthan Royals
PP Chawla- Sunny Singh,team_Kings XI Punjab,5,winner_Kings XI Punjab,loser_Rajasthan Royals
R Dravid- SA Asnodkar,team_Rajasthan Royals,17,winner_Kings XI Punjab,loser_Rajasthan Royals
SA Asnodkar- SR Watson,team_Rajasthan Royals,6,winner_Kings XI Punjab,loser_Rajasthan Royals
SR Watson- STR Binny,team_Rajasthan Royals,29,winner_Kings XI Punjab,loser_Rajasthan Royals
LRPL Taylor- STR Binny,team_Rajasthan Royals,2,winner_Kings XI Punjab,loser_Rajasthan Royals
AL Menaria- STR Binny,team_Rajasthan Royals,50,winner_Kings XI Punjab,loser_Rajasthan Royals
AL Menaria- AS Raut,team_Rajasthan Royals,25,winner_Kings XI Punjab,loser_Rajasthan Royals
AS Raut- DH Yagnik,team_Rajasthan Royals,16,winner_Kings XI Punjab,loser_Rajasthan Royals
DH Yagnik- SK Warne,team_Rajasthan Royals,7,winner_Kings XI Punjab,loser_Rajasthan Royals
BB McCullum- DPMD Jayawardene,team_Kochi Tuskers Kerala,56,winner_Kochi Tuskers Kerala,loser_Kolkata Knight Riders
DPMD Jayawardene- PA Patel,team_Kochi Tuskers Kerala,2,winner_Kochi Tuskers Kerala,loser_Kolkata Knight Riders
BJ Hodge- PA Patel,team_Kochi Tuskers Kerala,4,winner_Kochi Tuskers Kerala,loser_Kolkata Knight Riders
PA Patel- RA Jadeja,team_Kochi Tuskers Kerala,10,winner_Kochi Tuskers Kerala,loser_Kolkata Knight Riders
KM Jadhav- RA Jadeja,team_Kochi Tuskers Kerala,35,winner_Kochi Tuskers Kerala,loser_Kolkata Knight Riders
RA Jadeja- RV Gomez,team_Kochi Tuskers Kerala,5,winner_Kochi Tuskers Kerala,loser_Kolkata Knight Riders
R Vinay Kumar- RV Gomez,team_Kochi Tuskers Kerala,22,winner_Kochi Tuskers Kerala,loser_Kolkata Knight Riders
RR Powar- RV Gomez,team_Kochi Tuskers Kerala,5,winner_Kochi Tuskers Kerala,loser_Kolkata Knight Riders
JH Kallis- MS Bisla,team_Kolkata Knight Riders,29,winner_Kochi Tuskers Kerala,loser_Kolkata Knight Riders
G Gambhir- MS Bisla,team_Kolkata Knight Riders,3,winner_Kochi Tuskers Kerala,loser_Kolkata Knight Riders
MK Tiwary- MS Bisla,team_Kolkata Knight Riders,10,winner_Kochi Tuskers Kerala,loser_Kolkata Knight Riders
EJG Morgan- MK Tiwary,team_Kolkata Knight Riders,36,winner_Kochi Tuskers Kerala,loser_Kolkata Knight Riders
MK Tiwary- Shakib Al Hasan,team_Kolkata Knight Riders,13,winner_Kochi Tuskers Kerala,loser_Kolkata Knight Riders
MK Tiwary- YK Pathan,team_Kolkata Knight Riders,11,winner_Kochi Tuskers Kerala,loser_Kolkata Knight Riders
MK Tiwary- R Bhatia,team_Kolkata Knight Riders,4,winner_Kochi Tuskers Kerala,loser_Kolkata Knight Riders
B Lee- R Bhatia,team_Kolkata Knight Riders,4,winner_Kochi Tuskers Kerala,loser_Kolkata Knight Riders
Iqbal Abdulla- R Bhatia,team_Kolkata Knight Riders,20,winner_Kochi Tuskers Kerala,loser_Kolkata Knight Riders
Iqbal Abdulla- L Balaji,team_Kolkata Knight Riders,1,winner_Kochi Tuskers Kerala,loser_Kolkata Knight Riders
JD Ryder- TD Paine,team_Pune Warriors,17,winner_Mumbai Indians,loser_Pune Warriors
M Manhas- TD Paine,team_Pune Warriors,1,winner_Mumbai Indians,loser_Pune Warriors
RV Uthappa- TD Paine,team_Pune Warriors,0,winner_Mumbai Indians,loser_Pune Warriors
RV Uthappa- Yuvraj Singh,team_Pune Warriors,0,winner_Mumbai Indians,loser_Pune Warriors
MD Mishra- RV Uthappa,team_Pune Warriors,35,winner_Mumbai Indians,loser_Pune Warriors
M Kartik- RV Uthappa,team_Pune Warriors,35,winner_Mumbai Indians,loser_Pune Warriors
RV Uthappa- WD Parnell,team_Pune Warriors,11,winner_Mumbai Indians,loser_Pune Warriors
R Sharma- WD Parnell,team_Pune Warriors,13,winner_Mumbai Indians,loser_Pune Warriors
