Batsman,Bowler,Zero,One,Two,Three,Four,Five,Six,Wicket,batting_style,bowling_arm,bowling_style
V Sehwag,CJ McKay,1,6,0,0,1,0,0,0,Right-hand bat,Right-arm,fast-medium
V Sehwag,CRD Fernando,4,1,0,0,2,0,0,0,Right-hand bat,Right-arm,fast-medium
V Sehwag,SB Bangar,2,2,0,0,3,0,2,0,Right-hand bat,Right-arm,medium-fast
V Sehwag,AD Mascarenhas,10,7,2,0,6,0,2,1,Right-hand bat,Right-arm,fast-medium
V Sehwag,AB Agarkar,5,1,0,0,2,0,1,1,Right-hand bat,Right-arm,fast
V Sehwag,K Santokie,2,1,0,0,0,0,1,0,Right-hand bat,Left-arm,medium
V Sehwag,SB Wagh,1,2,0,0,3,0,0,0,Right-hand bat,Left-arm,medium-fast
V Sehwag,IK Pathan,8,2,0,0,4,0,1,2,Right-hand bat,Left-arm,medium-fast
V Sehwag,M Morkel,16,6,1,0,4,0,0,1,Right-hand bat,Right-arm,fast
V Sehwag,ST Jayasuriya,3,5,1,0,1,0,3,0,Right-hand bat,Left-arm,slow
V Sehwag,A Nehra,11,11,1,0,10,0,2,3,Right-hand bat,Left-arm,medium-fast
V Sehwag,LJ Wright,1,5,1,0,2,0,3,0,Right-hand bat,Right-arm,medium-fast
V Sehwag,Harbhajan Singh,7,21,4,0,5,0,1,2,Right-hand bat,Right-arm,offbreak
V Sehwag,KK Cooper,1,0,0,0,0,0,1,0,Right-hand bat,Right-arm,medium
V Sehwag,PP Chawla,6,15,2,0,7,0,2,2,Right-hand bat,Left-arm,legbreak
V Sehwag,Shoaib Akhtar,1,0,0,0,0,0,0,1,Right-hand bat,Right-arm,fast
V Sehwag,S Dhawan,0,0,0,0,1,0,0,1,Right-hand bat,Right-arm,offbreak
V Sehwag,AB Dinda,8,2,0,0,3,0,0,1,Right-hand bat,Right-arm,medium-fast
V Sehwag,HV Patel,1,2,0,0,1,0,0,0,Right-hand bat,Right-arm,medium
V Sehwag,A Uniyal,1,1,0,0,1,0,2,0,Right-hand bat,Left-arm,medium
V Sehwag,S Aravind,2,2,4,0,1,0,0,0,Right-hand bat,Left-arm,medium-fast
V Sehwag,KV Sharma,3,0,0,0,0,0,0,0,Right-hand bat,Left-arm,legbreak
V Sehwag,Mohammed Shami,12,2,0,0,4,0,0,1,Right-hand bat,Right-arm,fast-medium
V Sehwag,RR Powar,4,2,0,0,1,0,2,0,Right-hand bat,Right-arm,offbreak
V Sehwag,TG Southee,0,0,0,0,0,0,0,1,Right-hand bat,Right-arm,medium-fast
V Sehwag,P Awana,4,4,1,0,1,0,0,2,Right-hand bat,Right-arm,medium
V Sehwag,VS Malik,6,0,0,0,3,0,2,0,Right-hand bat,Right-arm,medium
V Sehwag,R Sharma,10,15,0,0,4,0,2,0,Right-hand bat,Right-arm,legbreak
V Sehwag,S Narwal,0,1,0,0,0,0,0,1,Right-hand bat,Right-arm,medium
V Sehwag,WD Parnell,3,3,1,0,0,0,0,0,Right-hand bat,Left-arm,medium-fast
V Sehwag,B Akhil,1,2,0,0,2,0,1,0,Right-hand bat,Right-arm,medium-fast
V Sehwag,V Pratap Singh,1,1,1,0,1,0,0,0,Right-hand bat,Right-arm,medium
V Sehwag,STR Binny,3,1,0,0,0,0,0,0,Right-hand bat,Right-arm,medium
V Sehwag,KA Pollard,3,5,0,0,5,0,2,0,Right-hand bat,Right-arm,medium-fast
V Sehwag,DJ Thornely,0,0,0,0,0,0,0,1,Right-hand bat,Right-arm,medium
V Sehwag,DR Smith,3,7,0,0,1,0,1,0,Right-hand bat,Right-arm,medium
V Sehwag,SR Watson,7,8,0,0,6,0,0,3,Right-hand bat,Right-arm,fast-medium
V Sehwag,NLTC Perera,2,3,1,0,1,0,0,0,Right-hand bat,Right-arm,medium-fast
V Sehwag,Sandeep Sharma,4,1,0,0,2,0,0,0,Right-hand bat,Right-arm,medium
V Sehwag,PC Valthaty,0,2,0,0,0,0,0,0,Right-hand bat,Right-arm,medium
V Sehwag,R Vinay Kumar,9,9,0,0,9,0,3,2,Right-hand bat,Right-arm,medium
V Sehwag,VR Aaron,5,4,2,0,2,0,0,0,Right-hand bat,Right-arm,fast
V Sehwag,P Kumar,19,7,3,0,12,0,3,3,Right-hand bat,Right-arm,medium
V Sehwag,DP Vijaykumar,1,0,0,0,0,0,0,1,Right-hand bat,Right-arm,medium
V Sehwag,IC Pandey,10,5,0,0,6,0,0,1,Right-hand bat,Right-arm,medium
V Sehwag,AA Chavan,8,8,1,0,6,0,0,0,Right-hand bat,Left-arm,slow
CR Brathwaite,Mustafizur Rahman,1,0,0,0,0,0,0,1,Right-hand bat,Left-arm,fast-medium
CR Brathwaite,CH Gayle,0,1,0,0,0,0,0,1,Right-hand bat,Right-arm,offbreak
CR Brathwaite,AD Russell,0,0,0,0,0,0,1,1,Right-hand bat,Right-arm,fast
CR Brathwaite,BB Sran,0,1,0,0,0,0,0,0,Right-hand bat,Left-arm,medium
CR Brathwaite,SM Boland,1,0,0,0,0,0,1,1,Right-hand bat,Right-arm,fast-medium
CR Brathwaite,Sandeep Sharma,1,0,0,0,1,0,1,1,Right-hand bat,Right-arm,medium
CR Brathwaite,UT Yadav,1,1,0,0,3,0,1,0,Right-hand bat,Right-arm,fast-medium
CR Brathwaite,M Ashwin,1,1,0,0,0,0,2,0,Right-hand bat,Right-arm,legbreak
CR Brathwaite,MP Stoinis,1,0,1,0,0,0,0,0,Right-hand bat,Right-arm,medium
CR Brathwaite,PP Chawla,3,0,0,0,0,0,1,1,Right-hand bat,Left-arm,legbreak
CR Brathwaite,B Kumar,2,1,0,0,2,0,0,0,Right-hand bat,Right-arm,medium
CR Brathwaite,GB Hogg,0,1,1,0,0,0,1,0,Right-hand bat,Left-arm,slow
CR Brathwaite,R Bhatia,0,1,0,0,0,0,0,0,Right-hand bat,Right-arm,medium-fast
Shivam Sharma,JJ Bumrah,0,1,0,0,0,0,0,0,Right-hand bat,Right-arm,medium
Shivam Sharma,MA Starc,0,0,0,0,1,0,0,1,Right-hand bat,Left-arm,fast
NK Patel,A Nehra,2,1,0,0,1,0,0,0,Left-hand bat,Left-arm,medium-fast
NK Patel,RR Raje,1,3,3,1,0,0,0,0,Left-hand bat,Right-arm,fast-medium
NK Patel,PP Chawla,2,2,2,0,0,0,0,1,Left-hand bat,Left-arm,legbreak
NK Patel,MS Gony,0,1,0,0,0,0,0,1,Left-hand bat,Right-arm,medium
NK Patel,M Ntini,8,1,0,0,0,0,0,0,Left-hand bat,Right-arm,fast
NK Patel,JR Hopes,3,1,0,0,2,0,0,0,Left-hand bat,Right-arm,medium
NK Patel,S Sreesanth,2,2,0,0,4,0,0,0,Left-hand bat,Right-arm,fast-medium
NK Patel,RR Powar,0,2,0,0,1,0,0,0,Left-hand bat,Right-arm,offbreak
NK Patel,IK Pathan,7,2,0,0,1,0,0,0,Left-hand bat,Left-arm,medium-fast
NK Patel,DW Steyn,10,2,0,0,0,0,0,0,Left-hand bat,Right-arm,fast
NK Patel,SM Pollock,1,3,0,0,0,0,0,0,Left-hand bat,Right-arm,fast-medium
NK Patel,VRV Singh,1,2,1,0,2,0,0,0,Left-hand bat,Right-arm,medium-fast
NK Patel,CK Langeveldt,0,0,0,0,0,0,0,1,Left-hand bat,Right-arm,fast-medium
NK Patel,JD Ryder,1,0,0,0,0,0,0,1,Left-hand bat,Right-arm,medium
NK Patel,CRD Fernando,2,4,1,0,1,0,1,0,Left-hand bat,Right-arm,fast-medium
NK Patel,DR Smith,1,2,0,0,0,0,0,0,Left-hand bat,Right-arm,medium
NK Patel,AB Agarkar,2,2,1,0,0,0,0,0,Left-hand bat,Right-arm,fast
NK Patel,R Vinay Kumar,3,1,0,0,0,0,0,0,Left-hand bat,Right-arm,medium
NK Patel,SS Sarkar,0,3,0,0,0,0,0,0,Left-hand bat,Right-arm,medium
NK Patel,AB Dinda,10,1,1,0,1,0,0,0,Left-hand bat,Right-arm,medium-fast
NK Patel,P Kumar,0,1,0,0,0,0,0,0,Left-hand bat,Right-arm,medium
NK Patel,MF Maharoof,0,0,0,0,1,0,0,1,Left-hand bat,Right-arm,fast-medium
NK Patel,ST Jayasuriya,0,2,0,0,0,0,0,0,Left-hand bat,Left-arm,slow
MJ Guptill,Imran Tahir,1,5,0,0,1,0,2,0,Right-hand bat,Right-arm,legbreak
MJ Guptill,DR Smith,1,0,0,0,1,0,0,1,Right-hand bat,Right-arm,medium
