op_player1,op_player2,op_team,op_partnership,op_winner,op_looser
LMP Simmons,PA Patel,Mumbai Indians,90,Mumbai Indians,Chennai Super Kings
DR Smith,MEK Hussey,Chennai Super Kings,0,Mumbai Indians,Chennai Super Kings
AC Gilchrist,SE Marsh,Kings XI Punjab,2,Pune Warriors,Kings XI Punjab
GC Smith,JD Ryder,Pune Warriors,0,Pune Warriors,Kings XI Punjab
BB McCullum,DR Smith,Chennai Super Kings,16,Delhi Daredevils,Chennai Super Kings
Q de Kock,SS Iyer,Delhi Daredevils,16,Delhi Daredevils,Chennai Super Kings
ML Hayden,PA Patel,Chennai Super Kings,22,Chennai Super Kings,Royal Challengers Bangalore
B Chipli,W Jaffer,Royal Challengers Bangalore,13,Chennai Super Kings,Royal Challengers Bangalore
SR Tendulkar,ST Jayasuriya,Mumbai Indians,71,Rajasthan Royals,Mumbai Indians
Kamran Akmal,SA Asnodkar,Rajasthan Royals,20,Rajasthan Royals,Mumbai Indians
M Vijay,MP Stoinis,Kings XI Punjab,45,Kings XI Punjab,Delhi Daredevils
Q de Kock,SV Samson,Delhi Daredevils,70,Kings XI Punjab,Delhi Daredevils
MJ Guptill,RG Sharma,Mumbai Indians,33,Gujarat Lions,Mumbai Indians
AJ Finch,BB McCullum,Gujarat Lions,0,Gujarat Lions,Mumbai Indians
M Vijay,MEK Hussey,Chennai Super Kings,61,Chennai Super Kings,Delhi Daredevils
UBT Chand,V Sehwag,Delhi Daredevils,0,Chennai Super Kings,Delhi Daredevils
HH Gibbs,SR Tendulkar,Mumbai Indians,15,Mumbai Indians,Kolkata Knight Riders
G Gambhir,MS Bisla,Kolkata Knight Riders,1,Mumbai Indians,Kolkata Knight Riders
DA Warner,UBT Chand,Delhi Daredevils,0,Kolkata Knight Riders,Delhi Daredevils
G Gambhir,MS Bisla,Kolkata Knight Riders,5,Kolkata Knight Riders,Delhi Daredevils
CH Gayle,V Kohli,Royal Challengers Bangalore,8,Mumbai Indians,Royal Challengers Bangalore
PA Patel,RG Sharma,Mumbai Indians,2,Mumbai Indians,Royal Challengers Bangalore
SR Tendulkar,ST Jayasuriya,Mumbai Indians,5,Mumbai Indians,Royal Challengers Bangalore
JH Kallis,V Kohli,Royal Challengers Bangalore,23,Mumbai Indians,Royal Challengers Bangalore
M Vijay,MEK Hussey,Chennai Super Kings,11,Kochi Tuskers Kerala,Chennai Super Kings
BB McCullum,DPMD Jayawardene,Kochi Tuskers Kerala,39,Kochi Tuskers Kerala,Chennai Super Kings
CH Gayle,PA Patel,Royal Challengers Bangalore,5,Sunrisers Hyderabad,Royal Challengers Bangalore
DA Warner,S Dhawan,Sunrisers Hyderabad,100,Sunrisers Hyderabad,Royal Challengers Bangalore
DPMD Jayawardene,MS Bisla,Kings XI Punjab,29,Rajasthan Royals,Kings XI Punjab
MJ Lumb,NV Ojha,Rajasthan Royals,109,Rajasthan Royals,Kings XI Punjab
Q de Kock,SS Iyer,Delhi Daredevils,1,Delhi Daredevils,Kolkata Knight Riders
G Gambhir,RV Uthappa,Kolkata Knight Riders,21,Delhi Daredevils,Kolkata Knight Riders
ML Hayden,S Badrinath,Chennai Super Kings,0,Chennai Super Kings,Kings XI Punjab
S Sohal,SM Katich,Kings XI Punjab,2,Chennai Super Kings,Kings XI Punjab
CA Pujara,CH Gayle,Royal Challengers Bangalore,102,Kings XI Punjab,Royal Challengers Bangalore
Mandeep Singh,SE Marsh,Kings XI Punjab,13,Kings XI Punjab,Royal Challengers Bangalore
K Goel,RS Bopara,Kings XI Punjab,18,Kings XI Punjab,Mumbai Indians
SR Tendulkar,ST Jayasuriya,Mumbai Indians,1,Kings XI Punjab,Mumbai Indians
Mohammad Hafeez,Salman Butt,Kolkata Knight Riders,14,Chennai Super Kings,Kolkata Knight Riders
PA Patel,SP Fleming,Chennai Super Kings,55,Chennai Super Kings,Kolkata Knight Riders
AJ Finch,BB McCullum,Gujarat Lions,0,Sunrisers Hyderabad,Gujarat Lions
DA Warner,S Dhawan,Sunrisers Hyderabad,137,Sunrisers Hyderabad,Gujarat Lions
MA Agarwal,SS Iyer,Delhi Daredevils,3,Kolkata Knight Riders,Delhi Daredevils
G Gambhir,RV Uthappa,Kolkata Knight Riders,31,Kolkata Knight Riders,Delhi Daredevils
AM Rahane,R Dravid,Rajasthan Royals,8,Deccan Chargers,Rajasthan Royals
PA Reddy,S Dhawan,Deccan Chargers,63,Deccan Chargers,Rajasthan Royals
M Vijay,ML Hayden,Chennai Super Kings,32,Royal Challengers Bangalore,Chennai Super Kings
JH Kallis,RV Uthappa,Royal Challengers Bangalore,2,Royal Challengers Bangalore,Chennai Super Kings
PA Patel,S Dhawan,Deccan Chargers,47,Kings XI Punjab,Deccan Chargers
Mandeep Singh,N Saini,Kings XI Punjab,7,Kings XI Punjab,Deccan Chargers
Q de Kock,SS Iyer,Delhi Daredevils,4,Rising Pune Supergiants,Delhi Daredevils
AM Rahane,UT Khawaja,Rising Pune Supergiants,31,Rising Pune Supergiants,Delhi Daredevils
S Dhawan,S Sohal,Deccan Chargers,3,Deccan Chargers,Kochi Tuskers Kerala
BB McCullum,DPMD Jayawardene,Kochi Tuskers Kerala,0,Deccan Chargers,Kochi Tuskers Kerala
AM Rahane,R Dravid,Rajasthan Royals,7,Rajasthan Royals,Kings XI Punjab
Mandeep Singh,SE Marsh,Kings XI Punjab,8,Rajasthan Royals,Kings XI Punjab
IK Pathan,K Goel,Kings XI Punjab,8,Kings XI Punjab,Mumbai Indians
L Ronchi,ST Jayasuriya,Mumbai Indians,14,Kings XI Punjab,Mumbai Indians
SR Tendulkar,ST Jayasuriya,Mumbai Indians,2,Delhi Daredevils,Mumbai Indians
DA Warner,G Gambhir,Delhi Daredevils,36,Delhi Daredevils,Mumbai Indians
AM Rahane,MDKJ Perera,Rajasthan Royals,22,Rajasthan Royals,Delhi Daredevils
DA Warner,UBT Chand,Delhi Daredevils,39,Rajasthan Royals,Delhi Daredevils
GC Smith,SA Asnodkar,Rajasthan Royals,11,Rajasthan Royals,Kolkata Knight Riders
SC Ganguly,Salman Butt,Kolkata Knight Riders,15,Rajasthan Royals,Kolkata Knight Riders
BB McCullum,SC Ganguly,Kolkata Knight Riders,27,Deccan Chargers,Kolkata Knight Riders
AC Gilchrist,HH Gibbs,Deccan Chargers,68,Deccan Chargers,Kolkata Knight Riders
R Dravid,SR Watson,Rajasthan Royals,73,Royal Challengers Bangalore,Rajasthan Royals
CH Gayle,TM Dilshan,Royal Challengers Bangalore,68,Royal Challengers Bangalore,Rajasthan Royals
AG Paunikar,R Dravid,Rajasthan Royals,26,Kolkata Knight Riders,Rajasthan Royals
JH Kallis,MS Bisla,Kolkata Knight Riders,8,Kolkata Knight Riders,Rajasthan Royals
V Kohli,W Jaffer,Royal Challengers Bangalore,1,Kings XI Punjab,Royal Challengers Bangalore
JR Hopes,SE Marsh,Kings XI Punjab,11,Kings XI Punjab,Royal Challengers Bangalore
M Vijay,MEK Hussey,Chennai Super Kings,64,Chennai Super Kings,Pune Warriors
JD Ryder,MD Mishra,Pune Warriors,19,Chennai Super Kings,Pune Warriors
AM Rahane,R Dravid,Rajasthan Royals,1,Rajasthan Royals,Kolkata Knight Riders
BB McCullum,JH Kallis,Kolkata Knight Riders,8,Rajasthan Royals,Kolkata Knight Riders
JD Ryder,SC Ganguly,Pune Warriors,28,Pune Warriors,Kings XI Punjab
AC Gilchrist,PC Valthaty,Kings XI Punjab,7,Pune Warriors,Kings XI Punjab
CA Pujara,V Sehwag,Kings XI Punjab,51,Kings XI Punjab,Sunrisers Hyderabad
AJ Finch,S Dhawan,Sunrisers Hyderabad,11,Kings XI Punjab,Sunrisers Hyderabad
MS Bisla,RS Bopara,Kings XI Punjab,5,Delhi Daredevils,Kings XI Punjab
G Gambhir,V Sehwag,Delhi Daredevils,10,Delhi Daredevils,Kings XI Punjab
Mandeep Singh,SE Marsh,Kings XI Punjab,68,Kings XI Punjab,Chennai Super Kings
F du Plessis,S Badrinath,Chennai Super Kings,47,Kings XI Punjab,Chennai Super Kings
JD Ryder,MK Pandey,Pune Warriors,24,Rajasthan Royals,Pune Warriors
R Dravid,SR Watson,Rajasthan Royals,29,Rajasthan Royals,Pune Warriors
CH Gayle,V Kohli,Royal Challengers Bangalore,43,Sunrisers Hyderabad,Royal Challengers Bangalore
DA Warner,S Dhawan,Sunrisers Hyderabad,82,Sunrisers Hyderabad,Royal Challengers Bangalore
AM Rahane,R Dravid,Rajasthan Royals,36,Chennai Super Kings,Rajasthan Royals
F du Plessis,S Badrinath,Chennai Super Kings,55,Chennai Super Kings,Rajasthan Royals
ML Hayden,PA Patel,Chennai Super Kings,61,Royal Challengers Bangalore,Chennai Super Kings
JH Kallis,MK Pandey,Royal Challengers Bangalore,17,Royal Challengers Bangalore,Chennai Super Kings
M Vohra,WP Saha,Kings XI Punjab,34,Kings XI Punjab,Royal Challengers Bangalore
CH Gayle,V Kohli,Royal Challengers Bangalore,33,Kings XI Punjab,Royal Challengers Bangalore
G Gambhir,V Sehwag,Delhi Daredevils,19,Kings XI Punjab,Delhi Daredevils
S Sohal,SM Katich,Kings XI Punjab,22,Kings XI Punjab,Delhi Daredevils
M Vijay,MEK Hussey,Chennai Super Kings,18,Chennai Super Kings,Deccan Chargers
S Dhawan,S Sohal,Deccan Chargers,71,Chennai Super Kings,Deccan Chargers
DA Warner,V Sehwag,Delhi Daredevils,44,Delhi Daredevils,Royal Challengers Bangalore
JH Kallis,MK Pandey,Royal Challengers Bangalore,71,Delhi Daredevils,Royal Challengers Bangalore
M Vohra,V Sehwag,Kings XI Punjab,23,Kolkata Knight Riders,Kings XI Punjab
G Gambhir,RV Uthappa,Kolkata Knight Riders,6,Kolkata Knight Riders,Kings XI Punjab
DA Warner,S Dhawan,Sunrisers Hyderabad,5,Kolkata Knight Riders,Sunrisers Hyderabad
G Gambhir,RV Uthappa,Kolkata Knight Riders,43,Kolkata Knight Riders,Sunrisers Hyderabad
CH Gayle,V Kohli,Royal Challengers Bangalore,67,Royal Challengers Bangalore,Chennai Super Kings
M Vijay,MEK Hussey,Chennai Super Kings,11,Royal Challengers Bangalore,Chennai Super Kings
AJ Finch,PA Patel,Mumbai Indians,24,Rajasthan Royals,Mumbai Indians
AM Rahane,SV Samson,Rajasthan Royals,28,Rajasthan Royals,Mumbai Indians
DPMD Jayawardene,V Sehwag,Delhi Daredevils,13,Sunrisers Hyderabad,Delhi Daredevils
PA Patel,S Dhawan,Sunrisers Hyderabad,33,Sunrisers Hyderabad,Delhi Daredevils
DA Warner,S Dhawan,Sunrisers Hyderabad,85,Sunrisers Hyderabad,Mumbai Indians
PA Patel,RG Sharma,Mumbai Indians,5,Sunrisers Hyderabad,Mumbai Indians
MA Agarwal,TM Dilshan,Royal Challengers Bangalore,0,Mumbai Indians,Royal Challengers Bangalore
DJ Jacobs,SR Tendulkar,Mumbai Indians,33,Mumbai Indians,Royal Challengers Bangalore
MEK Hussey,WP Saha,Chennai Super Kings,6,Chennai Super Kings,Pune Warriors
AJ Finch,RV Uthappa,Pune Warriors,26,Chennai Super Kings,Pune Warriors
AC Gilchrist,HH Gibbs,Deccan Chargers,46,Deccan Chargers,Royal Challengers Bangalore
JD Ryder,RV Uthappa,Royal Challengers Bangalore,0,Deccan Chargers,Royal Challengers Bangalore
A Chopra,Salman Butt,Kolkata Knight Riders,35,Kolkata Knight Riders,Delhi Daredevils
G Gambhir,V Sehwag,Delhi Daredevils,2,Kolkata Knight Riders,Delhi Daredevils
JD Ryder,RV Uthappa,Royal Challengers Bangalore,0,Royal Challengers Bangalore,Rajasthan Royals
GC Smith,SA Asnodkar,Rajasthan Royals,2,Royal Challengers Bangalore,Rajasthan Royals
JH Kallis,SP Goswami,Kolkata Knight Riders,4,Mumbai Indians,Kolkata Knight Riders
SR Tendulkar,TL Suman,Mumbai Indians,13,Mumbai Indians,Kolkata Knight Riders
CH Gayle,SC Ganguly,Kolkata Knight Riders,28,Kolkata Knight Riders,Kings XI Punjab
RS Bopara,Yuvraj Singh,Kings XI Punjab,0,Kolkata Knight Riders,Kings XI Punjab
M Vijay,MEK Hussey,Chennai Super Kings,68,Chennai Super Kings,Delhi Daredevils
DA Warner,DPMD Jayawardene,Delhi Daredevils,17,Chennai Super Kings,Delhi Daredevils
AJ Finch,S Dhawan,Sunrisers Hyderabad,15,Chennai Super Kings,Sunrisers Hyderabad
BB McCullum,DR Smith,Chennai Super Kings,85,Chennai Super Kings,Sunrisers Hyderabad
G Gambhir,JH Kallis,Kolkata Knight Riders,1,Kolkata Knight Riders,Royal Challengers Bangalore
PA Patel,YV Takawale,Royal Challengers Bangalore,67,Kolkata Knight Riders,Royal Challengers Bangalore
DR Smith,SR Tendulkar,Mumbai Indians,11,Mumbai Indians,Kings XI Punjab
Mandeep Singh,SE Marsh,Kings XI Punjab,12,Mumbai Indians,Kings XI Punjab
DR Smith,SR Tendulkar,Mumbai Indians,32,Sunrisers Hyderabad,Mumbai Indians
PA Reddy,S Dhawan,Sunrisers Hyderabad,16,Sunrisers Hyderabad,Mumbai Indians
M Vijay,Q de Kock,Delhi Daredevils,14,Kolkata Knight Riders,Delhi Daredevils
G Gambhir,RV Uthappa,Kolkata Knight Riders,106,Kolkata Knight Riders,Delhi Daredevils
CH Gayle,V Kohli,Royal Challengers Bangalore,6,Royal Challengers Bangalore,Sunrisers Hyderabad
DA Warner,S Dhawan,Sunrisers Hyderabad,35,Royal Challengers Bangalore,Sunrisers Hyderabad
JH Kallis,RV Uthappa,Royal Challengers Bangalore,0,Delhi Daredevils,Royal Challengers Bangalore
G Gambhir,V Sehwag,Delhi Daredevils,11,Delhi Daredevils,Royal Challengers Bangalore
PA Patel,RG Sharma,Mumbai Indians,7,Gujarat Lions,Mumbai Indians
AJ Finch,BB McCullum,Gujarat Lions,12,Gujarat Lions,Mumbai Indians
MK Pandey,SC Ganguly,Pune Warriors,0,Pune Warriors,Mumbai Indians
AT Rayudu,RE Levi,Mumbai Indians,0,Pune Warriors,Mumbai Indians
DA Warner,S Dhawan,Sunrisers Hyderabad,19,Royal Challengers Bangalore,Sunrisers Hyderabad
CH Gayle,V Kohli,Royal Challengers Bangalore,43,Royal Challengers Bangalore,Sunrisers Hyderabad
LMP Simmons,PA Patel,Mumbai Indians,42,Mumbai Indians,Sunrisers Hyderabad
DA Warner,S Dhawan,Sunrisers Hyderabad,45,Mumbai Indians,Sunrisers Hyderabad
AM Rahane,SR Watson,Rajasthan Royals,62,Rajasthan Royals,Mumbai Indians
RT Ponting,SR Tendulkar,Mumbai Indians,4,Rajasthan Royals,Mumbai Indians
M Vijay,MEK Hussey,Chennai Super Kings,52,Chennai Super Kings,Mumbai Indians
AP Tare,DR Smith,Mumbai Indians,12,Chennai Super Kings,Mumbai Indians
CH Gayle,TM Dilshan,Royal Challengers Bangalore,8,Mumbai Indians,Royal Challengers Bangalore
HH Gibbs,SR Tendulkar,Mumbai Indians,2,Mumbai Indians,Royal Challengers Bangalore
EJG Morgan,JH Kallis,Kolkata Knight Riders,36,Kolkata Knight Riders,Deccan Chargers
S Dhawan,S Sohal,Deccan Chargers,41,Kolkata Knight Riders,Deccan Chargers
G Gambhir,V Sehwag,Delhi Daredevils,53,Delhi Daredevils,Royal Challengers Bangalore
P Kumar,W Jaffer,Royal Challengers Bangalore,6,Delhi Daredevils,Royal Challengers Bangalore
AC Gilchrist,MD Mishra,Deccan Chargers,4,Royal Challengers Bangalore,Deccan Chargers
JH Kallis,R Dravid,Royal Challengers Bangalore,36,Royal Challengers Bangalore,Deccan Chargers
DA Warner,S Dhawan,Sunrisers Hyderabad,130,Sunrisers Hyderabad,Kolkata Knight Riders
G Gambhir,RV Uthappa,Kolkata Knight Riders,35,Sunrisers Hyderabad,Kolkata Knight Riders
MJ Lumb,NV Ojha,Rajasthan Royals,27,Royal Challengers Bangalore,Rajasthan Royals
JH Kallis,MK Pandey,Royal Challengers Bangalore,93,Royal Challengers Bangalore,Rajasthan Royals
M Vijay,M Vohra,Kings XI Punjab,45,Kolkata Knight Riders,Kings XI Punjab
G Gambhir,RV Uthappa,Kolkata Knight Riders,31,Kolkata Knight Riders,Kings XI Punjab
G Gambhir,MS Bisla,Kolkata Knight Riders,3,Royal Challengers Bangalore,Kolkata Knight Riders
CH Gayle,MA Agarwal,Royal Challengers Bangalore,12,Royal Challengers Bangalore,Kolkata Knight Riders
PA Patel,YV Takawale,Royal Challengers Bangalore,1,Rajasthan Royals,Royal Challengers Bangalore
AM Rahane,KK Nair,Rajasthan Royals,31,Rajasthan Royals,Royal Challengers Bangalore
JEC Franklin,SR Tendulkar,Mumbai Indians,51,Kings XI Punjab,Mumbai Indians
Mandeep Singh,N Saini,Kings XI Punjab,48,Kings XI Punjab,Mumbai Indians
Q de Kock,S Dhawan,Sunrisers Hyderabad,4,Chennai Super Kings,Sunrisers Hyderabad
M Vijay,MEK Hussey,Chennai Super Kings,65,Chennai Super Kings,Sunrisers Hyderabad
LMP Simmons,PA Patel,Mumbai Indians,111,Mumbai Indians,Kings XI Punjab
M Vijay,V Sehwag,Kings XI Punjab,9,Mumbai Indians,Kings XI Punjab
LMP Simmons,PA Patel,Mumbai Indians,29,Mumbai Indians,Kolkata Knight Riders
G Gambhir,RV Uthappa,Kolkata Knight Riders,45,Mumbai Indians,Kolkata Knight Riders
M Vijay,M Vohra,Kings XI Punjab,8,Delhi Daredevils,Kings XI Punjab
Q de Kock,SS Iyer,Delhi Daredevils,9,Delhi Daredevils,Kings XI Punjab
DA Warner,S Dhawan,Sunrisers Hyderabad,7,Mumbai Indians,Sunrisers Hyderabad
LMP Simmons,PA Patel,Mumbai Indians,106,Mumbai Indians,Sunrisers Hyderabad
G Gambhir,RV Uthappa,Kolkata Knight Riders,81,Royal Challengers Bangalore,Kolkata Knight Riders
CH Gayle,V Kohli,Royal Challengers Bangalore,29,Royal Challengers Bangalore,Kolkata Knight Riders
G Gambhir,MS Bisla,Kolkata Knight Riders,25,Sunrisers Hyderabad,Kolkata Knight Riders
PA Patel,S Dhawan,Sunrisers Hyderabad,89,Sunrisers Hyderabad,Kolkata Knight Riders
F du Plessis,M Vijay,Chennai Super Kings,4,Mumbai Indians,Chennai Super Kings
RE Levi,SR Tendulkar,Mumbai Indians,69,Mumbai Indians,Chennai Super Kings
M Vijay,ML Hayden,Chennai Super Kings,41,Deccan Chargers,Chennai Super Kings
AC Gilchrist,MD Mishra,Deccan Chargers,32,Deccan Chargers,Chennai Super Kings
BB McCullum,G Gambhir,Kolkata Knight Riders,95,Kolkata Knight Riders,Royal Challengers Bangalore
CH Gayle,TM Dilshan,Royal Challengers Bangalore,2,Kolkata Knight Riders,Royal Challengers Bangalore
PA Patel,RG Sharma,Mumbai Indians,0,Mumbai Indians,Kings XI Punjab
M Vijay,M Vohra,Kings XI Punjab,20,Mumbai Indians,Kings XI Punjab
AC Gilchrist,HH Gibbs,Deccan Chargers,61,Rajasthan Royals,Deccan Chargers
GC Smith,YK Pathan,Rajasthan Royals,109,Rajasthan Royals,Deccan Chargers
LMP Simmons,MEK Hussey,Mumbai Indians,87,Mumbai Indians,Delhi Daredevils
KP Pietersen,M Vijay,Delhi Daredevils,43,Mumbai Indians,Delhi Daredevils
DA Warner,S Dhawan,Sunrisers Hyderabad,63,Sunrisers Hyderabad,Royal Challengers Bangalore
CH Gayle,V Kohli,Royal Challengers Bangalore,114,Sunrisers Hyderabad,Royal Challengers Bangalore
PA Reddy,S Dhawan,Sunrisers Hyderabad,2,Rajasthan Royals,Sunrisers Hyderabad
AM Rahane,R Dravid,Rajasthan Royals,7,Rajasthan Royals,Sunrisers Hyderabad
Ankit Sharma,SR Watson,Rajasthan Royals,60,Chennai Super Kings,Rajasthan Royals
BB McCullum,DR Smith,Chennai Super Kings,20,Chennai Super Kings,Rajasthan Royals
G Gambhir,YK Pathan,Kolkata Knight Riders,46,Chennai Super Kings,Kolkata Knight Riders
MEK Hussey,R Ashwin,Chennai Super Kings,24,Chennai Super Kings,Kolkata Knight Riders
A Chopra,Salman Butt,Kolkata Knight Riders,4,Kolkata Knight Riders,Deccan Chargers
AC Gilchrist,HH Gibbs,Deccan Chargers,12,Kolkata Knight Riders,Deccan Chargers
JD Ryder,MD Mishra,Pune Warriors,22,Chennai Super Kings,Pune Warriors
M Vijay,MEK Hussey,Chennai Super Kings,19,Chennai Super Kings,Pune Warriors
DJ Harris,S Dhawan,Deccan Chargers,28,Delhi Daredevils,Deccan Chargers
DA Warner,V Sehwag,Delhi Daredevils,4,Delhi Daredevils,Deccan Chargers
MJ Lumb,NV Ojha,Rajasthan Royals,16,Royal Challengers Bangalore,Rajasthan Royals
JH Kallis,MK Pandey,Royal Challengers Bangalore,6,Royal Challengers Bangalore,Rajasthan Royals
CM Gautam,LMP Simmons,Mumbai Indians,12,Kolkata Knight Riders,Mumbai Indians
G Gambhir,RV Uthappa,Kolkata Knight Riders,50,Kolkata Knight Riders,Mumbai Indians
AC Gilchrist,PC Valthaty,Kings XI Punjab,21,Kings XI Punjab,Delhi Daredevils
DA Warner,NV Ojha,Delhi Daredevils,52,Kings XI Punjab,Delhi Daredevils
CM Gautam,LMP Simmons,Mumbai Indians,16,Chennai Super Kings,Mumbai Indians
BB McCullum,DR Smith,Chennai Super Kings,29,Chennai Super Kings,Mumbai Indians
AC Gilchrist,VVS Laxman,Deccan Chargers,55,Deccan Chargers,Chennai Super Kings
M Vijay,ML Hayden,Chennai Super Kings,12,Deccan Chargers,Chennai Super Kings
AM Rahane,SS Tiwary,Rising Pune Supergiants,8,Mumbai Indians,Rising Pune Supergiants
PA Patel,RG Sharma,Mumbai Indians,39,Mumbai Indians,Rising Pune Supergiants
BB McCullum,G Gambhir,Kolkata Knight Riders,113,Kolkata Knight Riders,Pune Warriors
MJ Clarke,RV Uthappa,Pune Warriors,10,Kolkata Knight Riders,Pune Warriors
AC Gilchrist,Mandeep Singh,Kings XI Punjab,19,Chennai Super Kings,Kings XI Punjab
M Vijay,MEK Hussey,Chennai Super Kings,139,Chennai Super Kings,Kings XI Punjab
SR Tendulkar,ST Jayasuriya,Mumbai Indians,38,Mumbai Indians,Delhi Daredevils
TM Dilshan,V Sehwag,Delhi Daredevils,38,Mumbai Indians,Delhi Daredevils
AJ Finch,RV Uthappa,Pune Warriors,83,Kings XI Punjab,Pune Warriors
AC Gilchrist,Mandeep Singh,Kings XI Punjab,4,Kings XI Punjab,Pune Warriors
CH Gayle,V Kohli,Royal Challengers Bangalore,119,Royal Challengers Bangalore,Kings XI Punjab
M Vijay,M Vohra,Kings XI Punjab,6,Royal Challengers Bangalore,Kings XI Punjab
G Gambhir,V Sehwag,Delhi Daredevils,1,Royal Challengers Bangalore,Delhi Daredevils
JH Kallis,RV Uthappa,Royal Challengers Bangalore,2,Royal Challengers Bangalore,Delhi Daredevils
PA Patel,S Dhawan,Sunrisers Hyderabad,28,Sunrisers Hyderabad,Kings XI Punjab
AC Gilchrist,Mandeep Singh,Kings XI Punjab,1,Sunrisers Hyderabad,Kings XI Punjab
AC Gilchrist,VVS Laxman,Deccan Chargers,43,Deccan Chargers,Kings XI Punjab
MS Bisla,RS Bopara,Kings XI Punjab,10,Deccan Chargers,Kings XI Punjab
RR Rossouw,YV Takawale,Royal Challengers Bangalore,2,Chennai Super Kings,Royal Challengers Bangalore
DR Smith,F du Plessis,Chennai Super Kings,57,Chennai Super Kings,Royal Challengers Bangalore
AC Gilchrist,VVS Laxman,Deccan Chargers,22,Rajasthan Royals,Deccan Chargers
GC Smith,Kamran Akmal,Rajasthan Royals,14,Rajasthan Royals,Deccan Chargers
HM Amla,M Vijay,Kings XI Punjab,60,Rising Pune Supergiants,Kings XI Punjab
AM Rahane,UT Khawaja,Rising Pune Supergiants,35,Rising Pune Supergiants,Kings XI Punjab
JR Hopes,K Goel,Kings XI Punjab,34,Rajasthan Royals,Kings XI Punjab
Kamran Akmal,M Kaif,Rajasthan Royals,6,Rajasthan Royals,Kings XI Punjab
J Arunkumar,V Kohli,Royal Challengers Bangalore,4,Kings XI Punjab,Royal Challengers Bangalore
JR Hopes,SE Marsh,Kings XI Punjab,42,Kings XI Punjab,Royal Challengers Bangalore
DA Warner,V Sehwag,Delhi Daredevils,35,Chennai Super Kings,Delhi Daredevils
ML Hayden,PA Patel,Chennai Super Kings,21,Chennai Super Kings,Delhi Daredevils
JR Hopes,SE Marsh,Kings XI Punjab,1,Kings XI Punjab,Mumbai Indians
SR Tendulkar,ST Jayasuriya,Mumbai Indians,36,Kings XI Punjab,Mumbai Indians
DPMD Jayawardene,SE Marsh,Kings XI Punjab,1,Deccan Chargers,Kings XI Punjab
AC Gilchrist,MD Mishra,Deccan Chargers,13,Deccan Chargers,Kings XI Punjab
BJ Hodge,MK Tiwary,Kolkata Knight Riders,0,Kolkata Knight Riders,Deccan Chargers
AC Gilchrist,VVS Laxman,Deccan Chargers,61,Kolkata Knight Riders,Deccan Chargers
AC Gilchrist,Mandeep Singh,Kings XI Punjab,0,Rajasthan Royals,Kings XI Punjab
AM Rahane,R Dravid,Rajasthan Royals,5,Rajasthan Royals,Kings XI Punjab
AC Gilchrist,HH Gibbs,Deccan Chargers,63,Deccan Chargers,Mumbai Indians
SR Tendulkar,ST Jayasuriya,Mumbai Indians,4,Deccan Chargers,Mumbai Indians
M Vijay,MEK Hussey,Chennai Super Kings,77,Chennai Super Kings,Rajasthan Royals
R Dravid,SR Watson,Rajasthan Royals,27,Chennai Super Kings,Rajasthan Royals
BB McCullum,M Klinger,Kochi Tuskers Kerala,6,Kochi Tuskers Kerala,Kolkata Knight Riders
EJG Morgan,JH Kallis,Kolkata Knight Riders,69,Kochi Tuskers Kerala,Kolkata Knight Riders
KC Sangakkara,S Dhawan,Deccan Chargers,37,Kolkata Knight Riders,Deccan Chargers
BB McCullum,G Gambhir,Kolkata Knight Riders,16,Kolkata Knight Riders,Deccan Chargers
AM Rahane,SR Watson,Rajasthan Royals,10,Royal Challengers Bangalore,Rajasthan Royals
CH Gayle,TM Dilshan,Royal Challengers Bangalore,53,Royal Challengers Bangalore,Rajasthan Royals
BB McCullum,VVS Laxman,Kochi Tuskers Kerala,0,Pune Warriors,Kochi Tuskers Kerala
GC Smith,JD Ryder,Pune Warriors,31,Pune Warriors,Kochi Tuskers Kerala
DR Smith,SR Tendulkar,Mumbai Indians,40,Mumbai Indians,Chennai Super Kings
M Vijay,MEK Hussey,Chennai Super Kings,9,Mumbai Indians,Chennai Super Kings
JD Ryder,MK Pandey,Pune Warriors,0,Delhi Daredevils,Pune Warriors
DPMD Jayawardene,V Sehwag,Delhi Daredevils,22,Delhi Daredevils,Pune Warriors
DA Warner,S Dhawan,Sunrisers Hyderabad,0,Rising Pune Supergiants,Sunrisers Hyderabad
AM Rahane,F du Plessis,Rising Pune Supergiants,0,Rising Pune Supergiants,Sunrisers Hyderabad
M Vijay,MP Stoinis,Kings XI Punjab,65,Kings XI Punjab,Gujarat Lions
BB McCullum,DR Smith,Gujarat Lions,13,Kings XI Punjab,Gujarat Lions
G Gambhir,V Sehwag,Delhi Daredevils,0,Delhi Daredevils,Chennai Super Kings
ML Hayden,PA Patel,Chennai Super Kings,57,Delhi Daredevils,Chennai Super Kings
AC Gilchrist,Mandeep Singh,Kings XI Punjab,2,Kings XI Punjab,Mumbai Indians
AP Tare,GJ Maxwell,Mumbai Indians,0,Kings XI Punjab,Mumbai Indians
MS Bisla,SE Marsh,Kings XI Punjab,3,Royal Challengers Bangalore,Kings XI Punjab
JH Kallis,MK Pandey,Royal Challengers Bangalore,28,Royal Challengers Bangalore,Kings XI Punjab
JH Kallis,SP Goswami,Royal Challengers Bangalore,15,Kolkata Knight Riders,Royal Challengers Bangalore
