op_player1,op_player2,op_team,op_partnership,op_winner,op_looser
BB McCullum,G Gambhir,Kolkata Knight Riders,68,Kolkata Knight Riders,Delhi Daredevils
GC Smith,NV Ojha,Rajasthan Royals,135,Rajasthan Royals,Kings XI Punjab
KC Sangakkara,S Sohal,Kings XI Punjab,0,Rajasthan Royals,Kings XI Punjab
Mandeep Singh,SE Marsh,Kings XI Punjab,55,Kings XI Punjab,Deccan Chargers
DJ Harris,S Dhawan,Deccan Chargers,10,Kings XI Punjab,Deccan Chargers
F du Plessis,M Vijay,Chennai Super Kings,43,Pune Warriors,Chennai Super Kings
JD Ryder,RV Uthappa,Pune Warriors,31,Pune Warriors,Chennai Super Kings
AC Gilchrist,MD Mishra,Deccan Chargers,11,Deccan Chargers,Delhi Daredevils
DA Warner,V Sehwag,Delhi Daredevils,9,Deccan Chargers,Delhi Daredevils
DA Warner,V Sehwag,Delhi Daredevils,21,Kochi Tuskers Kerala,Delhi Daredevils
BB McCullum,M Klinger,Kochi Tuskers Kerala,61,Kochi Tuskers Kerala,Delhi Daredevils
M Vohra,V Sehwag,Kings XI Punjab,23,Mumbai Indians,Kings XI Punjab
LMP Simmons,MEK Hussey,Mumbai Indians,68,Mumbai Indians,Kings XI Punjab
AC Gilchrist,HH Gibbs,Deccan Chargers,34,Rajasthan Royals,Deccan Chargers
GC Smith,SA Asnodkar,Rajasthan Royals,0,Rajasthan Royals,Deccan Chargers
JH Kallis,MS Bisla,Kolkata Knight Riders,51,Kolkata Knight Riders,Deccan Chargers
IR Jaggi,S Dhawan,Deccan Chargers,10,Kolkata Knight Riders,Deccan Chargers
KP Pietersen,M Vijay,Delhi Daredevils,13,Kings XI Punjab,Delhi Daredevils
M Vohra,V Sehwag,Kings XI Punjab,67,Kings XI Punjab,Delhi Daredevils
MJ Lumb,NV Ojha,Rajasthan Royals,35,Rajasthan Royals,Kings XI Punjab
KC Sangakkara,RS Bopara,Kings XI Punjab,41,Rajasthan Royals,Kings XI Punjab
DA Warner,S Dhawan,Sunrisers Hyderabad,46,Delhi Daredevils,Sunrisers Hyderabad
Q de Kock,RR Pant,Delhi Daredevils,9,Delhi Daredevils,Sunrisers Hyderabad
DPMD Jayawardene,SE Marsh,Kings XI Punjab,34,Chennai Super Kings,Kings XI Punjab
M Vijay,ML Hayden,Chennai Super Kings,13,Chennai Super Kings,Kings XI Punjab
BB McCullum,DR Smith,Chennai Super Kings,15,Rajasthan Royals,Chennai Super Kings
AM Rahane,SR Watson,Rajasthan Royals,144,Rajasthan Royals,Chennai Super Kings
KP Pietersen,MA Agarwal,Delhi Daredevils,13,Kings XI Punjab,Delhi Daredevils
M Vohra,V Sehwag,Kings XI Punjab,13,Kings XI Punjab,Delhi Daredevils
MJ Guptill,RG Sharma,Mumbai Indians,46,Mumbai Indians,Delhi Daredevils
MA Agarwal,Q de Kock,Delhi Daredevils,11,Mumbai Indians,Delhi Daredevils
CH Gayle,TM Dilshan,Royal Challengers Bangalore,11,Royal Challengers Bangalore,Delhi Daredevils
DA Warner,UBT Chand,Delhi Daredevils,17,Royal Challengers Bangalore,Delhi Daredevils
BR Dunk,CM Gautam,Mumbai Indians,25,Mumbai Indians,Royal Challengers Bangalore
CH Gayle,PA Patel,Royal Challengers Bangalore,53,Mumbai Indians,Royal Challengers Bangalore
M Vijay,ML Hayden,Chennai Super Kings,36,Chennai Super Kings,Delhi Daredevils
DA Warner,G Gambhir,Delhi Daredevils,20,Chennai Super Kings,Delhi Daredevils
AJ Finch,S Dhawan,Sunrisers Hyderabad,37,Sunrisers Hyderabad,Rajasthan Royals
AM Rahane,KK Nair,Rajasthan Royals,0,Sunrisers Hyderabad,Rajasthan Royals
CH Gayle,TM Dilshan,Royal Challengers Bangalore,8,Draw,Draw
PA Patel,PA Reddy,Sunrisers Hyderabad,4,Draw,Draw
CL White,NLTC Perera,Sunrisers Hyderabad,20,Draw,Draw
CH Gayle,V Kohli,Royal Challengers Bangalore,15,Draw,Draw
M Vijay,Q de Kock,Delhi Daredevils,36,Chennai Super Kings,Delhi Daredevils
