 player1,player2,partner-name,team,partnership,winner,looser
AM Rahane,GJ Bailey,AM Rahane- GJ Bailey,Rising Pune Supergiants,45,Rising Pune Supergiants,Delhi Daredevils
G Gambhir,RV Uthappa,G Gambhir- RV Uthappa,Kolkata Knight Riders,59,Royal Challengers Bangalore,Kolkata Knight Riders
G Gambhir,MK Pandey,G Gambhir- MK Pandey,Kolkata Knight Riders,76,Royal Challengers Bangalore,Kolkata Knight Riders
MK Pandey,YK Pathan,MK Pandey- YK Pathan,Kolkata Knight Riders,23,Royal Challengers Bangalore,Kolkata Knight Riders
AD Russell,YK Pathan,AD Russell- YK Pathan,Kolkata Knight Riders,5,Royal Challengers Bangalore,Kolkata Knight Riders
AD Russell,SA Yadav,AD Russell- SA Yadav,Kolkata Knight Riders,7,Royal Challengers Bangalore,Kolkata Knight Riders
AD Russell,Shakib Al Hasan,AD Russell- Shakib Al Hasan,Kolkata Knight Riders,58,Royal Challengers Bangalore,Kolkata Knight Riders
CH Gayle,V Kohli,CH Gayle- V Kohli,Royal Challengers Bangalore,129,Royal Challengers Bangalore,Kolkata Knight Riders
AB de Villiers,V Kohli,AB de Villiers- V Kohli,Royal Challengers Bangalore,115,Royal Challengers Bangalore,Kolkata Knight Riders
MJ Guptill,RG Sharma,MJ Guptill- RG Sharma,Mumbai Indians,161,Mumbai Indians,Delhi Daredevils
KH Pandya,MJ Guptill,KH Pandya- MJ Guptill,Mumbai Indians,98,Mumbai Indians,Delhi Daredevils
KA Pollard,KH Pandya,KA Pollard- KH Pandya,Mumbai Indians,29,Mumbai Indians,Delhi Daredevils
JC Buttler,KA Pollard,JC Buttler- KA Pollard,Mumbai Indians,1,Mumbai Indians,Delhi Daredevils
AT Rayudu,JC Buttler,AT Rayudu- JC Buttler,Mumbai Indians,32,Mumbai Indians,Delhi Daredevils
MA Agarwal,Q de Kock,MA Agarwal- Q de Kock,Delhi Daredevils,43,Mumbai Indians,Delhi Daredevils
KK Nair,Q de Kock,KK Nair- Q de Kock,Delhi Daredevils,35,Mumbai Indians,Delhi Daredevils
Q de Kock,SV Samson,Q de Kock- SV Samson,Delhi Daredevils,14,Mumbai Indians,Delhi Daredevils
Q de Kock,RR Pant,Q de Kock- RR Pant,Delhi Daredevils,11,Mumbai Indians,Delhi Daredevils
JP Duminy,RR Pant,JP Duminy- RR Pant,Delhi Daredevils,25,Mumbai Indians,Delhi Daredevils
CH Morris,RR Pant,CH Morris- RR Pant,Delhi Daredevils,0,Mumbai Indians,Delhi Daredevils
A Mishra,CH Morris,A Mishra- CH Morris,Delhi Daredevils,13,Mumbai Indians,Delhi Daredevils
CH Morris,S Nadeem,CH Morris- S Nadeem,Delhi Daredevils,9,Mumbai Indians,Delhi Daredevils
Imran Tahir,S Nadeem,Imran Tahir- S Nadeem,Delhi Daredevils,5,Mumbai Indians,Delhi Daredevils
S Nadeem,Z Khan,S Nadeem- Z Khan,Delhi Daredevils,3,Mumbai Indians,Delhi Daredevils
HM Amla,M Vijay,HM Amla- M Vijay,Kings XI Punjab,36,Sunrisers Hyderabad,Kings XI Punjab
HM Amla,WP Saha,HM Amla- WP Saha,Kings XI Punjab,54,Sunrisers Hyderabad,Kings XI Punjab
Gurkeerat Singh,HM Amla,Gurkeerat Singh- HM Amla,Kings XI Punjab,65,Sunrisers Hyderabad,Kings XI Punjab
DA Miller,HM Amla,DA Miller- HM Amla,Kings XI Punjab,21,Sunrisers Hyderabad,Kings XI Punjab
DA Miller,GJ Maxwell,DA Miller- GJ Maxwell,Kings XI Punjab,6,Sunrisers Hyderabad,Kings XI Punjab
DA Warner,S Dhawan,DA Warner- S Dhawan,Sunrisers Hyderabad,74,Sunrisers Hyderabad,Kings XI Punjab
DA Warner,DJ Hooda,DA Warner- DJ Hooda,Sunrisers Hyderabad,29,Sunrisers Hyderabad,Kings XI Punjab
DJ Hooda,Yuvraj Singh,DJ Hooda- Yuvraj Singh,Sunrisers Hyderabad,42,Sunrisers Hyderabad,Kings XI Punjab
BCJ Cutting,Yuvraj Singh,BCJ Cutting- Yuvraj Singh,Sunrisers Hyderabad,41,Sunrisers Hyderabad,Kings XI Punjab
AM Rahane,UT Khawaja,AM Rahane- UT Khawaja,Rising Pune Supergiants,60,Kolkata Knight Riders,Rising Pune Supergiants
GJ Bailey,UT Khawaja,GJ Bailey- UT Khawaja,Rising Pune Supergiants,7,Kolkata Knight Riders,Rising Pune Supergiants
GJ Bailey,SS Tiwary,GJ Bailey- SS Tiwary,Rising Pune Supergiants,41,Kolkata Knight Riders,Rising Pune Supergiants
GJ Bailey,IK Pathan,GJ Bailey- IK Pathan,Rising Pune Supergiants,7,Kolkata Knight Riders,Rising Pune Supergiants
IK Pathan,MS Dhoni,IK Pathan- MS Dhoni,Rising Pune Supergiants,13,Kolkata Knight Riders,Rising Pune Supergiants
MS Dhoni,NLTC Perera,MS Dhoni- NLTC Perera,Rising Pune Supergiants,15,Kolkata Knight Riders,Rising Pune Supergiants
MS Dhoni,R Ashwin,MS Dhoni- R Ashwin,Rising Pune Supergiants,1,Kolkata Knight Riders,Rising Pune Supergiants
G Gambhir,RV Uthappa,G Gambhir- RV Uthappa,Kolkata Knight Riders,6,Kolkata Knight Riders,Rising Pune Supergiants
G Gambhir,MK Pandey,G Gambhir- MK Pandey,Kolkata Knight Riders,3,Kolkata Knight Riders,Rising Pune Supergiants
MK Pandey,YK Pathan,MK Pandey- YK Pathan,Kolkata Knight Riders,58,Kolkata Knight Riders,Rising Pune Supergiants
CH Gayle,V Kohli,CH Gayle- V Kohli,Royal Challengers Bangalore,77,Royal Challengers Bangalore,Gujarat Lions
