Match ID,Player Name,Runs scored,Balls,Fours,Sixes,Wicket Taker,Wicket Type,Balls Bowled,Runs Conceded,Wickets Taken,Team
335987,RA Jadeja,36,27,5,1,,,0,0,0,Rajasthan Royals
335987,WA Mota,1,1,0,0,,,12,6,0,Kings XI Punjab
335987,M Kaif,5,8,1,0,S Sreesanth,caught,0,0,0,Rajasthan Royals
335987,S Sreesanth,0,0,0,0,,,38,24,1,Kings XI Punjab
335987,D Salunkhe,0,0,0,0,,,22,13,1,Rajasthan Royals
335987,MM Patel,0,0,0,0,,,36,24,1,Rajasthan Royals
335987,KC Sangakkara,20,8,3,1,SK Warne,caught and bowled,0,0,0,Kings XI Punjab
335987,DPMD Jayawardene,2,5,0,0,D Salunkhe,stumped,0,0,0,Kings XI Punjab
335987,K Goel,26,21,3,2,MM Patel,bowled,0,0,0,Kings XI Punjab
335987,SK Warne,0,0,0,0,,,19,24,3,Rajasthan Royals
335987,Pankaj Singh,0,0,0,0,,,12,6,0,Rajasthan Royals
335987,SK Trivedi,0,0,0,0,,,25,24,2,Rajasthan Royals
335987,Kamran Akmal,15,10,2,1,JR Hopes,caught,0,0,0,Rajasthan Royals
335987,SR Watson,76,51,5,5,,,39,25,0,Rajasthan Royals
335987,DS Lehmann,17,17,3,0,IK Pathan,lbw,0,0,0,Rajasthan Royals
335987,JR Hopes,16,16,2,0,SK Warne,lbw,34,25,1,Kings XI Punjab
335987,Yuvraj Singh,57,35,6,3,SK Warne,lbw,0,0,0,Kings XI Punjab
335987,IK Pathan,12,19,0,1,SK Trivedi,bowled,21,26,1,Kings XI Punjab
335987,B Lee,0,2,0,0,SK Trivedi,caught,36,26,1,Kings XI Punjab
548373,CL White,1,4,0,0,A Chandila,caught and bowled,0,0,0,Deccan Chargers
548373,J Botha,3,4,0,0,DW Steyn,caught and bowled,30,25,1,Rajasthan Royals
548373,CA Lynn,6,10,1,0,SK Trivedi,caught,0,0,0,Deccan Chargers
548373,A Mishra,0,0,0,0,,,22,25,2,Deccan Chargers
548373,AM Rahane,6,7,1,0,DW Steyn,caught,0,0,0,Rajasthan Royals
548373,S Dhawan,26,26,2,2,J Botha,caught,0,0,0,Deccan Chargers
548373,PA Reddy,42,37,4,1,SK Trivedi,caught,0,0,0,Deccan Chargers
548373,A Chandila,0,1,0,0,,,21,24,1,Rajasthan Royals
548373,A Ashish Reddy,10,4,2,0,,,17,12,0,Deccan Chargers
548373,MS Gony,0,0,0,0,,,26,25,1,Deccan Chargers
548373,AL Menaria,20,17,1,1,V Pratap Singh,caught,0,0,0,Rajasthan Royals
548373,JP Duminy,24,33,0,0,STR Binny,caught,13,13,0,Deccan Chargers
548373,SP Goswami,3,3,0,0,V Pratap Singh,bowled,0,0,0,Rajasthan Royals
548373,R Dravid,39,37,5,0,MS Gony,caught,0,0,0,Rajasthan Royals
548373,DW Steyn,0,0,0,0,,,17,24,2,Deccan Chargers
548373,SK Trivedi,0,0,0,0,,,20,26,2,Rajasthan Royals
548373,STR Binny,7,8,1,0,A Mishra,bowled,8,6,1,Rajasthan Royals
548373,PA Patel,10,5,1,0,,,0,0,0,Deccan Chargers
548373,SR Watson,13,13,1,1,A Mishra,bowled,14,12,0,Rajasthan Royals
548373,SW Tait,0,0,0,0,,,35,26,0,Rajasthan Royals
