op_partner_name,team,partnership,winner,loser
AC Blizzard-SR Tendulkar,team_Mumbai Indians,19,winner_Kings XI Punjab,loser_Mumbai Indians
DA Warner-V Sehwag,team_Delhi Daredevils,40,winner_Kolkata Knight Riders,loser_Delhi Daredevils
BB McCullum-G Gambhir,team_Kolkata Knight Riders,68,winner_Kolkata Knight Riders,loser_Delhi Daredevils
GC Smith-NV Ojha,team_Rajasthan Royals,135,winner_Rajasthan Royals,loser_Kings XI Punjab
KC Sangakkara-S Sohal,team_Kings XI Punjab,0,winner_Rajasthan Royals,loser_Kings XI Punjab
Mandeep Singh-SE Marsh,team_Kings XI Punjab,55,winner_Kings XI Punjab,loser_Deccan Chargers
DJ Harris-S Dhawan,team_Deccan Chargers,10,winner_Kings XI Punjab,loser_Deccan Chargers
F du Plessis-M Vijay,team_Chennai Super Kings,43,winner_Pune Warriors,loser_Chennai Super Kings
JD Ryder-RV Uthappa,team_Pune Warriors,31,winner_Pune Warriors,loser_Chennai Super Kings
AC Gilchrist-MD Mishra,team_Deccan Chargers,11,winner_Deccan Chargers,loser_Delhi Daredevils
DA Warner-V Sehwag,team_Delhi Daredevils,9,winner_Deccan Chargers,loser_Delhi Daredevils
DA Warner-V Sehwag,team_Delhi Daredevils,21,winner_Kochi Tuskers Kerala,loser_Delhi Daredevils
BB McCullum-M Klinger,team_Kochi Tuskers Kerala,61,winner_Kochi Tuskers Kerala,loser_Delhi Daredevils
M Vohra-V Sehwag,team_Kings XI Punjab,23,winner_Mumbai Indians,loser_Kings XI Punjab
LMP Simmons-MEK Hussey,team_Mumbai Indians,68,winner_Mumbai Indians,loser_Kings XI Punjab
AC Gilchrist-HH Gibbs,team_Deccan Chargers,34,winner_Rajasthan Royals,loser_Deccan Chargers
GC Smith-SA Asnodkar,team_Rajasthan Royals,0,winner_Rajasthan Royals,loser_Deccan Chargers
JH Kallis-MS Bisla,team_Kolkata Knight Riders,51,winner_Kolkata Knight Riders,loser_Deccan Chargers
IR Jaggi-S Dhawan,team_Deccan Chargers,10,winner_Kolkata Knight Riders,loser_Deccan Chargers
KP Pietersen-M Vijay,team_Delhi Daredevils,13,winner_Kings XI Punjab,loser_Delhi Daredevils
M Vohra-V Sehwag,team_Kings XI Punjab,67,winner_Kings XI Punjab,loser_Delhi Daredevils
MJ Lumb-NV Ojha,team_Rajasthan Royals,35,winner_Rajasthan Royals,loser_Kings XI Punjab
KC Sangakkara-RS Bopara,team_Kings XI Punjab,41,winner_Rajasthan Royals,loser_Kings XI Punjab
DA Warner-S Dhawan,team_Sunrisers Hyderabad,46,winner_Delhi Daredevils,loser_Sunrisers Hyderabad
Q de Kock-RR Pant,team_Delhi Daredevils,9,winner_Delhi Daredevils,loser_Sunrisers Hyderabad
DPMD Jayawardene-SE Marsh,team_Kings XI Punjab,34,winner_Chennai Super Kings,loser_Kings XI Punjab
M Vijay-ML Hayden,team_Chennai Super Kings,13,winner_Chennai Super Kings,loser_Kings XI Punjab
BB McCullum-DR Smith,team_Chennai Super Kings,15,winner_Rajasthan Royals,loser_Chennai Super Kings
AM Rahane-SR Watson,team_Rajasthan Royals,144,winner_Rajasthan Royals,loser_Chennai Super Kings
KP Pietersen-MA Agarwal,team_Delhi Daredevils,13,winner_Kings XI Punjab,loser_Delhi Daredevils
M Vohra-V Sehwag,team_Kings XI Punjab,13,winner_Kings XI Punjab,loser_Delhi Daredevils
MJ Guptill-RG Sharma,team_Mumbai Indians,46,winner_Mumbai Indians,loser_Delhi Daredevils
MA Agarwal-Q de Kock,team_Delhi Daredevils,11,winner_Mumbai Indians,loser_Delhi Daredevils
CH Gayle-TM Dilshan,team_Royal Challengers Bangalore,11,winner_Royal Challengers Bangalore,loser_Delhi Daredevils
DA Warner-UBT Chand,team_Delhi Daredevils,17,winner_Royal Challengers Bangalore,loser_Delhi Daredevils
BR Dunk-CM Gautam,team_Mumbai Indians,25,winner_Mumbai Indians,loser_Royal Challengers Bangalore
CH Gayle-PA Patel,team_Royal Challengers Bangalore,53,winner_Mumbai Indians,loser_Royal Challengers Bangalore
M Vijay-ML Hayden,team_Chennai Super Kings,36,winner_Chennai Super Kings,loser_Delhi Daredevils
DA Warner-G Gambhir,team_Delhi Daredevils,20,winner_Chennai Super Kings,loser_Delhi Daredevils
AJ Finch-S Dhawan,team_Sunrisers Hyderabad,37,winner_Sunrisers Hyderabad,loser_Rajasthan Royals
AM Rahane-KK Nair,team_Rajasthan Royals,0,winner_Sunrisers Hyderabad,loser_Rajasthan Royals
CH Gayle-TM Dilshan,team_Royal Challengers Bangalore,8,winner_Draw,loser_Draw
PA Patel-PA Reddy,team_Sunrisers Hyderabad,4,winner_Draw,loser_Draw
CL White-NLTC Perera,team_Sunrisers Hyderabad,20,winner_Draw,loser_Draw
CH Gayle-V Kohli,team_Royal Challengers Bangalore,15,winner_Draw,loser_Draw
M Vijay-Q de Kock,team_Delhi Daredevils,36,winner_Chennai Super Kings,loser_Delhi Daredevils
BB McCullum-DR Smith,team_Chennai Super Kings,82,winner_Chennai Super Kings,loser_Delhi Daredevils
GC Smith-SA Asnodkar,team_Rajasthan Royals,109,winner_Rajasthan Royals,loser_Royal Challengers Bangalore
J Arunkumar-V Kohli,team_Royal Challengers Bangalore,0,winner_Rajasthan Royals,loser_Royal Challengers Bangalore
AC Gilchrist-HH Gibbs,team_Deccan Chargers,79,winner_Kings XI Punjab,loser_Deccan Chargers
KC Sangakkara-SE Marsh,team_Kings XI Punjab,84,winner_Kings XI Punjab,loser_Deccan Chargers
AJ Finch-S Dhawan,team_Sunrisers Hyderabad,56,winner_Sunrisers Hyderabad,loser_Delhi Daredevils
