player1,player2,team,partnership
S Dhawan,SR Tendulkar,Mumbai Indians,7
DPMD Jayawardene,AB Barath,Kings XI Punjab,41
K Goel,RS Bopara,Kings XI Punjab,67
V Sehwag,G Gambhir,Delhi Daredevils,58
SR Tendulkar,AC Blizzard,Mumbai Indians,50
DA Warner,V Sehwag,Delhi Daredevils,3
PA Patel,S Dhawan,Deccan Chargers,39
JD Ryder,MK Pandey,Pune Warriors,15
AC Gilchrist,VVS Laxman,Deccan Chargers,2
NV Ojha,MJ Lumb,Rajasthan Royals,55
RG Sharma,LMP Simmons,Mumbai Indians,8
F du Plessis,AM Rahane,Rising Pune Supergiants,78
AM Nayar,AM Rahane,Rajasthan Royals,22
V Sehwag,CA Pujara,Kings XI Punjab,5
S Sohal,SM Katich,Kings XI Punjab,12
AC Gilchrist,HH Gibbs,Deccan Chargers,34
AJ Finch,S Dhawan,Sunrisers Hyderabad,14
G Gambhir,RV Uthappa,Kolkata Knight Riders,8
S Dhawan,DA Warner,Sunrisers Hyderabad,28
V Kohli,KL Rahul,Royal Challengers Bangalore,42
DR Smith,SR Tendulkar,Mumbai Indians,11
DPMD Jayawardene,V Sehwag,Delhi Daredevils,151
RS Bopara,SE Marsh,Kings XI Punjab,5
SR Tendulkar,S Dhawan,Mumbai Indians,42
BB McCullum,DPMD Jayawardene,Kochi Tuskers Kerala,93
PC Valthaty,AC Gilchrist,Kings XI Punjab,25
CH Gayle,SC Ganguly,Kolkata Knight Riders,17
ML Hayden,M Vijay,Chennai Super Kings,6
V Sehwag,CA Pujara,Kings XI Punjab,9
MK Pandey,JH Kallis,Kolkata Knight Riders,13
MJ Guptill,PA Patel,Mumbai Indians,2
S Dhawan,DA Warner,Sunrisers Hyderabad,4
V Kohli,TM Dilshan,Royal Challengers Bangalore,23
AM Rahane,R Dravid,Rajasthan Royals,56
JH Kallis,MK Pandey,Royal Challengers Bangalore,7
AC Gilchrist,HH Gibbs,Deccan Chargers,68
V Sehwag,DA Warner,Delhi Daredevils,41
CL White,JH Kallis,Royal Challengers Bangalore,25
MK Pandey,JH Kallis,Royal Challengers Bangalore,18
MD Mishra,AC Gilchrist,Deccan Chargers,11
JD Ryder,RV Uthappa,Pune Warriors,63
TM Dilshan,CH Gayle,Royal Challengers Bangalore,7
M Vohra,M Vijay,Kings XI Punjab,21
RV Uthappa,G Gambhir,Kolkata Knight Riders,82
V Sehwag,G Gambhir,Delhi Daredevils,11
K Goel,SM Katich,Kings XI Punjab,2
BB McCullum,DR Smith,Chennai Super Kings,75
S Dhawan,DA Warner,Sunrisers Hyderabad,30
GC Smith,JD Ryder,Pune Warriors,28
DA Warner,V Sehwag,Delhi Daredevils,75
SR Tendulkar,ST Jayasuriya,Mumbai Indians,21
W Jaffer,JH Kallis,Royal Challengers Bangalore,24
RV Uthappa,G Gambhir,Kolkata Knight Riders,23
DR Smith,BB McCullum,Gujarat Lions,0
MEK Hussey,M Vijay,Chennai Super Kings,83
AM Rahane,R Dravid,Rajasthan Royals,14
PA Patel,LMP Simmons,Mumbai Indians,43
AM Rahane,SR Watson,Rajasthan Royals,30
DA Warner,S Dhawan,Sunrisers Hyderabad,86
BB McCullum,DR Smith,Chennai Super Kings,14
CH Gayle,SS Tiwary,Royal Challengers Bangalore,36
AJ Finch,RV Uthappa,Pune Warriors,20
S Vidyut,PA Patel,Chennai Super Kings,39
NK Patel,SA Asnodkar,Rajasthan Royals,19
DPMD Jayawardene,V Sehwag,Delhi Daredevils,13
R Dravid,AM Rahane,Rajasthan Royals,99
BB McCullum,CH Gayle,Kolkata Knight Riders,0
SP Goswami,JH Kallis,Royal Challengers Bangalore,69
DJ Jacobs,SR Tendulkar,Mumbai Indians,14
AC Gilchrist,PC Valthaty,Kings XI Punjab,1
S Sohal,S Dhawan,Deccan Chargers,13
AC Gilchrist,PC Valthaty,Kings XI Punjab,136
MJ Lumb,NV Ojha,Rajasthan Royals,0
MK Tiwary,BJ Hodge,Kolkata Knight Riders,18
PA Reddy,PA Patel,Sunrisers Hyderabad,12
MA Agarwal,CH Gayle,Royal Challengers Bangalore,39
M Vijay,MEK Hussey,Chennai Super Kings,1
SR Tendulkar,DR Smith,Mumbai Indians,47
CH Gayle,V Kohli,Royal Challengers Bangalore,20
LMP Simmons,PA Patel,Mumbai Indians,29
JH Kallis,G Gambhir,Kolkata Knight Riders,1
M Vijay,MA Agarwal,Delhi Daredevils,10
Mandeep Singh,AC Gilchrist,Kings XI Punjab,45
G Gambhir,MS Bisla,Kolkata Knight Riders,10
F du Plessis,AM Rahane,Rising Pune Supergiants,24
RV Uthappa,G Gambhir,Kolkata Knight Riders,0
M Vijay,HM Amla,Kings XI Punjab,33
DA Warner,S Dhawan,Sunrisers Hyderabad,68
BB McCullum,M Klinger,Kochi Tuskers Kerala,43
CH Gayle,TM Dilshan,Royal Challengers Bangalore,67
AC Gilchrist,SE Marsh,Kings XI Punjab,60
UBT Chand,DPMD Jayawardene,Delhi Daredevils,11
DR Smith,BB McCullum,Chennai Super Kings,0
NJ Maddinson,V Kohli,Royal Challengers Bangalore,10
CH Gayle,A Mukund,Royal Challengers Bangalore,44
AM Rahane,R Dravid,Rajasthan Royals,21
AJ Finch,S Dhawan,Sunrisers Hyderabad,2
AM Nayar,AM Rahane,Rajasthan Royals,4
V Sehwag,M Vohra,Kings XI Punjab,24
KK Nair,AM Rahane,Rajasthan Royals,21
SR Watson,R Dravid,Rajasthan Royals,86
M Vijay,MEK Hussey,Chennai Super Kings,8
VVS Laxman,BB McCullum,Kochi Tuskers Kerala,80
TM Dilshan,MA Agarwal,Royal Challengers Bangalore,7
G Gambhir,V Sehwag,Delhi Daredevils,12
GC Smith,RJ Quiney,Rajasthan Royals,7
Y Venugopal Rao,AC Gilchrist,Deccan Chargers,21
BB McCullum,WP Saha,Kolkata Knight Riders,6
TM Dilshan,CH Gayle,Royal Challengers Bangalore,57
TD Paine,JD Ryder,Pune Warriors,35
AC Gilchrist,Mandeep Singh,Kings XI Punjab,5
SR Watson,AM Rahane,Rajasthan Royals,43
AC Blizzard,SR Tendulkar,Mumbai Indians,18
JD Ryder,MK Pandey,Pune Warriors,0
DJ Jacobs,SR Tendulkar,Mumbai Indians,47
S Dhawan,S Sohal,Deccan Chargers,14
CA Pujara,CH Gayle,Royal Challengers Bangalore,15
MS Bisla,G Gambhir,Kolkata Knight Riders,0
DR Smith,F du Plessis,Chennai Super Kings,33
DA Warner,S Dhawan,Sunrisers Hyderabad,116
G Gambhir,RV Uthappa,Kolkata Knight Riders,2
V Sehwag,M Vohra,Kings XI Punjab,5
MEK Hussey,AP Tare,Mumbai Indians,20
NJ Maddinson,PA Patel,Royal Challengers Bangalore,16
DJ Jacobs,SR Tendulkar,Mumbai Indians,22
R Dravid,SR Watson,Rajasthan Royals,17
BB McCullum,DR Smith,Chennai Super Kings,23
MA Agarwal,M Vijay,Delhi Daredevils,8
AJ Finch,RG Sharma,Mumbai Indians,8
RV Uthappa,G Gambhir,Kolkata Knight Riders,13
AM Rahane,SR Watson,Rajasthan Royals,80
G Gambhir,RV Uthappa,Kolkata Knight Riders,8
MA Agarwal,SS Iyer,Delhi Daredevils,15
S Dhawan,DA Warner,Sunrisers Hyderabad,50
KK Nair,AM Rahane,Rajasthan Royals,44
MA Agarwal,KP Pietersen,Delhi Daredevils,19
ML Hayden,M Vijay,Chennai Super Kings,62
MJ Lumb,NV Ojha,Rajasthan Royals,69
RT Ponting,SR Tendulkar,Mumbai Indians,0
UBT Chand,DA Warner,Delhi Daredevils,0
GC Smith,RJ Quiney,Rajasthan Royals,43
DJ Bravo,YV Takawale,Mumbai Indians,9
SM Katich,S Sohal,Kings XI Punjab,5
ST Jayasuriya,DJ Bravo,Mumbai Indians,5
DR Smith,BB McCullum,Chennai Super Kings,20
RV Uthappa,G Gambhir,Kolkata Knight Riders,17
MA Agarwal,M Vijay,Delhi Daredevils,15
NJ Maddinson,PA Patel,Royal Challengers Bangalore,6
SR Watson,SV Samson,Rajasthan Royals,34
LMP Simmons,MEK Hussey,Mumbai Indians,19
M Vijay,ML Hayden,Chennai Super Kings,27
S Dhawan,SR Tendulkar,Mumbai Indians,46
V Kohli,CH Gayle,Royal Challengers Bangalore,23
DR Smith,MEK Hussey,Chennai Super Kings,21
V Sehwag,DA Warner,Delhi Daredevils,9
SC Ganguly,CH Gayle,Kolkata Knight Riders,19
Salman Butt,A Chopra,Kolkata Knight Riders,16
SR Tendulkar,ST Jayasuriya,Mumbai Indians,6
MEK Hussey,AP Tare,Mumbai Indians,11
DR Smith,BB McCullum,Chennai Super Kings,57
DA Warner,S Dhawan,Sunrisers Hyderabad,48
AM Rahane,SR Watson,Rajasthan Royals,8
CH Gayle,TM Dilshan,Royal Challengers Bangalore,80
MD Mishra,MJ Clarke,Pune Warriors,4
SC Ganguly,BB McCullum,Kolkata Knight Riders,61
R Dravid,W Jaffer,Royal Challengers Bangalore,4
M Vijay,MEK Hussey,Chennai Super Kings,87
G Gambhir,MS Bisla,Kolkata Knight Riders,3
S Dhawan,DB Ravi Teja,Deccan Chargers,51
JD Ryder,MK Pandey,Pune Warriors,55
JH Kallis,MK Pandey,Royal Challengers Bangalore,28
PA Patel,ML Hayden,Chennai Super Kings,2
M Vijay,M Vohra,Kings XI Punjab,14
DA Warner,S Dhawan,Sunrisers Hyderabad,90
CH Gayle,BB McCullum,Kolkata Knight Riders,23
KC Sangakkara,S Sohal,Kings XI Punjab,1
MDKJ Perera,AM Rahane,Rajasthan Royals,0
RV Uthappa,AJ Finch,Pune Warriors,58
GC Smith,SA Asnodkar,Rajasthan Royals,65
V Sehwag,G Gambhir,Delhi Daredevils,10
JR Hopes,SE Marsh,Kings XI Punjab,28
SC Ganguly,Mohammad Hafeez,Kolkata Knight Riders,22
Mandeep Singh,V Sehwag,Kings XI Punjab,60
CH Gayle,PA Patel,Royal Challengers Bangalore,8
TM Dilshan,CH Gayle,Royal Challengers Bangalore,167
RV Uthappa,AJ Finch,Pune Warriors,0
MD Mishra,AC Gilchrist,Deccan Chargers,3
V Sehwag,DA Warner,Delhi Daredevils,34
RS Bopara,K Goel,Kings XI Punjab,0
SA Asnodkar,GC Smith,Rajasthan Royals,7
CA Pujara,AB McDonald,Royal Challengers Bangalore,37
V Sehwag,AJ Finch,Delhi Daredevils,13
BB McCullum,CH Gayle,Kolkata Knight Riders,1
AC Gilchrist,HH Gibbs,Deccan Chargers,24
SC Ganguly,BB McCullum,Kolkata Knight Riders,13
JH Kallis,JD Ryder,Royal Challengers Bangalore,58
AM Rahane,SR Watson,Rajasthan Royals,36
CH Gayle,V Kohli,Royal Challengers Bangalore,36
K Goel,RS Bopara,Kings XI Punjab,9
BB McCullum,CH Gayle,Kolkata Knight Riders,57
