Name,Runs,Wickets,Balls,Strike_rate,Avg,zeroes,ones,twos,threes,fours,sixes,batting_style
PA Patel,1921,89,1746,110.0229095074,21.5842696629,722,564,87,8,248,27,Left-hand bat
MK Tiwary,1322,49,1202,109.9833610649,26.9795918367,428,501,64,7,121,28,Right-hand bat
RE van der Merwe,158,12,144,109.7222222222,13.1666666667,55,52,4,2,11,8,Right-hand bat
KV Sharma,266,15,243,109.4650205761,17.7333333333,83,99,20,1,13,12,Left-hand bat
B Chipli,280,16,256,109.375,17.5,94,100,7,4,28,7,Right-hand bat
AL Menaria,401,22,367,109.2643051771,18.2272727273,130,149,24,0,24,18,Left-hand bat
MA Khote,24,2,22,109.0909090909,12,8,8,1,0,2,1,Right-hand bat
AA Chavan,12,1,11,109.0909090909,12,4,4,0,0,2,0,Left-hand bat
A Flintoff,62,2,57,108.7719298246,31,22,23,2,1,5,2,Right-hand bat
NL McCullum,25,3,23,108.6956521739,8.3333333333,6,8,4,1,0,1,Right-hand bat
MS Bisla,798,37,737,108.276797829,21.5675675676,338,207,36,3,93,23,Right-hand bat
DJ Harris,111,3,103,107.7669902913,37,49,33,2,0,11,5,Right-hand bat
MDKJ Perera,14,2,13,107.6923076923,7,6,2,0,0,3,0,Left-hand bat
F Behardien,14,2,13,107.6923076923,7,3,6,0,0,2,0,Right-hand bat
J Syed Mohammad,29,2,27,107.4074074074,14.5,9,11,1,0,4,0,Left-hand bat
CM Gautam,169,9,158,106.9620253165,18.7777777778,75,40,8,3,17,6,Right-hand bat
SD Chitnis,98,7,92,106.5217391304,14,32,36,5,0,10,2,Right-hand bat
GC Smith,730,30,686,106.4139941691,24.3333333333,288,227,39,1,92,9,Left-hand bat
Shoaib Malik,52,4,49,106.1224489796,13,12,24,4,0,5,0,Right-hand bat
R Vinay Kumar,302,26,285,105.9649122807,11.6153846154,93,106,31,0,20,9,Right-hand bat
JH Kallis,2426,89,2291,105.8926233086,27.2584269663,894,887,113,8,255,44,Right-hand bat
JJ van der Wath,18,2,17,105.8823529412,9,6,6,1,0,1,1,Right-hand bat
JEC Franklin,327,11,309,105.8252427184,29.7272727273,113,129,22,0,25,9,Left-hand bat
M Manhas,513,24,486,105.5555555556,21.375,174,190,44,1,43,10,Right-hand bat
Y Gnaneswara Rao,19,1,18,105.5555555556,19,8,5,1,0,3,0,Right-hand bat
HH Gibbs,883,32,837,105.495818399,27.59375,380,263,44,3,83,31,Right-hand bat
P Kumar,331,33,314,105.4140127389,10.0303030303,125,93,24,0,22,17,Right-hand bat
AC Thomas,20,2,19,105.2631578947,10,6,8,1,0,1,1,Right-hand bat
Iqbal Abdulla,83,1,79,105.0632911392,83,32,31,5,0,9,1,Left-hand bat
YV Takawale,192,8,183,104.9180327869,24,92,41,12,0,26,3,Right-hand bat
Y Nagar,284,15,271,104.7970479705,18.9333333333,99,108,18,2,20,9,Right-hand bat
CA Lynn,89,4,85,104.7058823529,22.25,36,29,6,0,6,4,Right-hand bat
RR Powar,67,3,64,104.6875,22.3333333333,24,23,7,0,6,1,Right-hand bat
RJ Harris,117,12,112,104.4642857143,9.75,34,40,16,1,6,3,Right-hand bat
BB Samantray,120,5,115,104.347826087,24,44,44,8,0,12,2,Right-hand bat
JM Kemp,26,2,25,104,13,9,9,2,1,1,1,Right-hand bat
RR Rossouw,53,6,51,103.9215686275,8.8333333333,19,17,3,0,3,3,Left-hand bat
VVS Laxman,281,16,271,103.6900369004,17.5625,108,99,10,0,33,5,Right-hand bat
MJ Guptill,57,3,55,103.6363636364,19,24,19,1,2,3,3,Right-hand bat
M Kartik,112,7,109,102.752293578,16,26,59,8,1,7,1,Left-hand bat
DL Vettori,121,7,118,102.5423728814,17.2857142857,39,54,4,1,11,2,Left-hand bat
DW Steyn,163,22,159,102.5157232704,7.4090909091,50,51,19,0,14,3,Right-hand bat
Ishan Kishan,42,4,41,102.4390243902,10.5,13,16,3,0,5,0,Left-hand bat
SC Ganguly,1349,54,1326,101.7345399698,24.9814814815,608,427,54,3,137,42,Left-hand bat
UT Yadav,83,8,82,101.2195121951,10.375,32,29,2,0,8,3,Right-hand bat
FY Fazal,181,9,179,101.1173184358,20.1111111111,67,73,7,0,22,1,Left-hand bat
MJ Clarke,97,6,96,101.0416666667,16.1666666667,38,34,5,0,12,0,Right-hand bat
W Jaffer,130,7,129,100.7751937985,18.5714285714,57,41,6,1,14,3,Right-hand bat
M Kaif,259,16,258,100.3875968992,16.1875,104,86,23,1,22,6,Right-hand bat
