Batsman,Bowler,Zero,One,Two,Three,Four,Five,Six,Wicket,Total,batting_style,bowling_arm,bowling_style,Bowls played,Strike Rate,Average
V Sehwag,M de Lange,0,4,0,0,0,0,0,0,4,Right-hand bat,Right-arm,fast,4,100,4
V Sehwag,B Kumar,11,3,0,0,3,0,2,1,27,Right-hand bat,Right-arm,medium,20,135,27
V Sehwag,YA Abdulla,3,0,0,0,3,0,1,0,18,Right-hand bat,Left-arm,fast-medium,7,257.1428571,18
V Sehwag,Iqbal Abdulla,2,4,0,0,1,0,1,0,14,Right-hand bat,Left-arm,slow,8,175,14
V Sehwag,AG Murtaza,5,1,0,0,1,0,0,2,5,Right-hand bat,Left-arm,slow,9,55.55555556,2.5
V Sehwag,RJ Peterson,1,1,0,0,0,0,1,1,7,Right-hand bat,Left-arm,slow,4,175,7
V Sehwag,PJ Sangwan,0,2,0,0,2,0,1,0,16,Right-hand bat,Left-arm,medium,5,320,16
V Sehwag,SK Warne,1,2,0,0,1,0,0,0,6,Right-hand bat,Right-arm,legbreak,4,150,6
V Sehwag,UT Yadav,11,6,2,0,4,0,0,2,26,Right-hand bat,Right-arm,fast-medium,25,104,13
V Sehwag,A Symonds,2,3,1,0,4,0,3,1,39,Right-hand bat,Right-arm,medium,14,278.5714286,39
V Sehwag,RP Singh,22,12,5,0,15,0,1,1,88,Right-hand bat,Left-arm,fast-medium,56,157.1428571,88
V Sehwag,MC Henriques,2,0,0,0,0,0,0,0,0,Right-hand bat,Right-arm,fast-medium,2,0,0
V Sehwag,R Rampaul,9,3,1,1,1,0,0,0,12,Right-hand bat,Right-arm,fast-medium,15,80,12
V Sehwag,Kamran Khan,2,1,0,0,0,0,0,0,1,Right-hand bat,Left-arm,medium-fast,3,33.33333333,1
V Sehwag,KW Richardson,8,3,0,0,0,0,0,0,3,Right-hand bat,Right-arm,fast-medium,11,27.27272727,3
V Sehwag,BW Hilfenhaus,11,3,1,0,2,0,1,2,19,Right-hand bat,Right-arm,fast-medium,20,95,9.5
V Sehwag,RN ten Doeschate,2,1,0,0,1,0,0,0,5,Right-hand bat,Right-arm,medium-fast,4,125,5
V Sehwag,SJ Srivastava,1,3,2,0,0,0,1,0,13,Right-hand bat,Left-arm,fast-medium,7,185.7142857,13
V Sehwag,B Chipli,1,0,2,0,1,0,2,0,20,Right-hand bat,Right-arm,medium,6,333.3333333,20
V Sehwag,JM Kemp,0,2,1,0,1,0,1,0,14,Right-hand bat,Right-arm,fast-medium,5,280,14
V Sehwag,Yuvraj Singh,1,6,0,0,1,0,0,0,10,Right-hand bat,Left-arm,slow,8,125,10
V Sehwag,AD Russell,0,0,0,0,1,0,0,1,4,Right-hand bat,Right-arm,fast,2,200,4
V Sehwag,B Lee,12,10,0,0,5,0,0,1,30,Right-hand bat,Right-arm,fast,28,107.1428571,30
V Sehwag,R Bhatia,0,0,0,0,0,0,0,1,0,Right-hand bat,Right-arm,medium-fast,1,0,0
V Sehwag,AM Nayar,0,4,1,0,1,0,1,0,16,Right-hand bat,Right-arm,medium,7,228.5714286,16
V Sehwag,PP Ojha,10,10,2,0,1,0,0,2,18,Right-hand bat,Left-arm,slow,25,72,9
V Sehwag,AC Voges,5,0,0,0,2,0,0,0,8,Right-hand bat,Left-arm,slow,7,114.2857143,8
V Sehwag,M Ntini,6,2,0,0,1,0,1,0,12,Right-hand bat,Right-arm,fast,10,120,12
V Sehwag,JH Kallis,9,12,1,0,10,0,1,2,60,Right-hand bat,Right-arm,fast-medium,35,171.4285714,30
V Sehwag,I Malhotra,0,1,1,0,2,0,2,0,23,Right-hand bat,Right-arm,medium-fast,6,383.3333333,23
V Sehwag,MM Patel,16,12,1,0,5,0,3,3,52,Right-hand bat,Right-arm,medium-fast,40,130,17.33333333
V Sehwag,DE Bollinger,2,4,0,0,3,0,0,1,16,Right-hand bat,Left-arm,fast-medium,10,160,16
V Sehwag,CH Gayle,0,0,0,0,2,0,0,1,8,Right-hand bat,Right-arm,offbreak,3,266.6666667,8
V Sehwag,GB Hogg,3,7,2,0,2,0,1,2,25,Right-hand bat,Left-arm,slow,17,147.0588235,12.5
V Sehwag,S Sreesanth,12,4,2,0,1,0,1,1,18,Right-hand bat,Right-arm,fast-medium,21,85.71428571,18
V Sehwag,SP Narine,1,5,4,0,1,0,1,0,23,Right-hand bat,Right-arm,offbreak,12,191.6666667,23
V Sehwag,BAW Mendis,3,5,2,0,0,0,0,0,9,Right-hand bat,Right-arm,legbreak,10,90,9
V Sehwag,JJ Bumrah,5,4,1,0,2,0,1,0,20,Right-hand bat,Right-arm,medium,13,153.8461538,20
V Sehwag,Imran Tahir,0,2,0,0,2,0,1,0,16,Right-hand bat,Right-arm,legbreak,5,320,16
V Sehwag,Z Khan,8,10,2,0,9,0,1,3,56,Right-hand bat,Left-arm,fast-medium,33,169.6969697,18.66666667
V Sehwag,L Balaji,8,11,0,0,4,0,2,1,39,Right-hand bat,Right-arm,medium-fast,26,150,39
V Sehwag,YS Chahal,2,6,2,0,0,0,0,2,10,Right-hand bat,Right-arm,legbreak,12,83.33333333,5
V Sehwag,A Kumble,7,1,0,0,2,0,1,0,15,Right-hand bat,Right-arm,legbreak,11,136.3636364,15
V Sehwag,Pankaj Singh,6,3,0,0,6,0,1,1,33,Right-hand bat,Right-arm,medium-fast,17,194.1176471,33
V Sehwag,Shakib Al Hasan,0,1,1,0,0,0,0,0,3,Right-hand bat,Left-arm,slow,2,150,3
V Sehwag,SL Malinga,18,13,0,0,7,0,0,1,41,Right-hand bat,Right-arm,fast,39,105.1282051,41
V Sehwag,DS Kulkarni,5,4,0,0,4,0,0,2,20,Right-hand bat,Right-arm,medium,15,133.3333333,10
V Sehwag,FH Edwards,1,2,0,0,2,0,0,0,10,Right-hand bat,Right-arm,fast,5,200,10
V Sehwag,M Muralitharan,7,7,0,0,3,0,0,1,19,Right-hand bat,Right-arm,offbreak,18,105.5555556,19
V Sehwag,DJG Sammy,0,0,0,0,0,0,0,1,0,Right-hand bat,Right-arm,medium-fast,1,0,0
V Sehwag,SW Tait,5,3,1,0,3,0,0,1,17,Right-hand bat,Right-arm,fast,13,130.7692308,17
V Sehwag,JR Hopes,1,1,0,0,0,0,0,0,1,Right-hand bat,Right-arm,medium,2,50,1
V Sehwag,Joginder Sharma,3,2,2,0,6,0,1,1,36,Right-hand bat,Right-arm,fast-medium,15,240,36
V Sehwag,R Ashwin,5,16,2,0,1,0,3,1,42,Right-hand bat,Right-arm,offbreak,28,150,42
V Sehwag,JD Ryder,0,2,2,0,3,0,2,1,30,Right-hand bat,Right-arm,medium,10,300,30
V Sehwag,MM Sharma,11,5,3,0,4,0,1,2,33,Right-hand bat,Right-arm,medium,26,126.9230769,16.5
V Sehwag,R Shukla,2,3,1,0,1,0,0,0,9,Right-hand bat,Right-arm,medium,7,128.5714286,9
V Sehwag,YK Pathan,2,0,0,0,1,0,1,0,10,Right-hand bat,Right-arm,offbreak,4,250,10
V Sehwag,DL Vettori,0,1,0,0,0,0,0,0,1,Right-hand bat,Left-arm,slow,1,100,1
V Sehwag,WPUJC Vaas,8,6,1,0,5,0,0,2,28,Right-hand bat,Left-arm,fast-medium,22,127.2727273,14
V Sehwag,MA Starc,11,2,0,0,2,0,0,0,10,Right-hand bat,Left-arm,fast,15,66.66666667,10
V Sehwag,AD Mathews,5,9,2,0,5,0,1,0,39,Right-hand bat,Right-arm,fast-medium,22,177.2727273,39
V Sehwag,I Sharma,13,7,0,0,2,0,0,1,15,Right-hand bat,Right-arm,fast-medium,23,65.2173913,15
V Sehwag,JD Unadkat,6,4,1,0,4,0,0,2,22,Right-hand bat,Left-arm,medium,17,129.4117647,11
