Name,Runs,Wickets,Balls,Strike_rate,Avg,batting_style
M Ntini,11,1,19,57.89473684210526,11.0,Right-hand bat
BJ Rohrer,193,6,145,133.10344827586206,32.166666666666664,Left-hand bat
I Malhotra,7,0,4,175.0,7.0,Right-hand bat
WA Mota,56,5,76,73.6842105263158,11.2,Right-hand bat
A Flintoff,62,2,57,108.7719298245614,31.0,Right-hand bat
G Gambhir,3630,117,3028,119.88110964332893,31.025641025641026,Left-hand bat
S Sreesanth,34,3,57,59.64912280701754,11.333333333333334,Right-hand bat
MD Mishra,237,15,213,111.26760563380282,15.8,Right-hand bat
SB Jakati,27,2,30,90.0,13.5,Left-hand bat
W Jaffer,130,7,129,100.7751937984496,18.571428571428573,Right-hand bat
SS Shaikh,6,0,7,85.71428571428571,6.0,Right-hand bat
SB Joshi,6,2,16,37.5,3.0,Left-hand bat
FH Edwards,4,1,5,80.0,4.0,Right-hand bat
M Muralitharan,19,6,30,63.333333333333336,3.1666666666666665,Right-hand bat
R Dhawan,151,7,135,111.85185185185185,21.571428571428573,Right-hand bat
AB Dinda,19,8,42,45.23809523809524,2.375,Right-hand bat
SD Chitnis,98,7,92,106.52173913043478,14.0,Right-hand bat
JD Ryder,602,29,466,129.1845493562232,20.75862068965517,Left-hand bat
MM Sharma,61,7,53,115.09433962264151,8.714285714285714,Right-hand bat
R Shukla,19,2,23,82.6086956521739,9.5,Right-hand bat
RR Bhatkal,0,2,2,0.0,0.0,Right-hand bat
SA Yadav,503,22,389,129.30591259640101,22.863636363636363,Right-hand bat
MA Starc,96,6,98,97.95918367346938,16.0,Left-hand bat
BJ Hodge,1397,46,1153,121.16218560277537,30.369565217391305,Right-hand bat
SL Malinga,81,11,100,81.0,7.363636363636363,Right-hand bat
I Sharma,36,5,46,78.26086956521739,7.2,Right-hand bat
AJ Finch,1303,46,1080,120.64814814814815,28.32608695652174,Right-hand bat
H Das,2,1,5,40.0,2.0,Right-hand bat
JD Unadkat,3,1,8,37.5,3.0,Right-hand bat
ML Hayden,1107,27,838,132.10023866348448,41.0,Left-hand bat
Sandeep Sharma,19,1,28,67.85714285714286,19.0,Right-hand bat
Shahid Afridi,81,8,46,176.08695652173913,10.125,Right-hand bat
N Saini,140,11,143,97.9020979020979,12.727272727272727,Right-hand bat
J Syed Mohammad,29,2,27,107.4074074074074,14.5,Left-hand bat
DW Steyn,163,22,159,102.51572327044025,7.409090909090909,Right-hand bat
Kamran Akmal,128,4,78,164.10256410256412,32.0,Right-hand bat
VRV Singh,4,1,3,133.33333333333334,4.0,Right-hand bat
CJ McKay,8,1,15,53.333333333333336,8.0,Right-hand bat
TM Srivastava,8,1,11,72.72727272727273,8.0,Left-hand bat
SPD Smith,1228,38,928,132.32758620689654,32.31578947368421,Right-hand bat
S Kaul,9,0,11,81.81818181818181,9.0,Right-hand bat
Joginder Sharma,36,4,30,120.0,9.0,Right-hand bat
C Munro,30,1,31,96.7741935483871,30.0,Left-hand bat
MF Maharoof,176,10,124,141.93548387096774,17.6,Right-hand bat
Y Gnaneswara Rao,19,1,18,105.55555555555556,19.0,Right-hand bat
Y Venugopal Rao,980,42,865,113.29479768786128,23.333333333333332,Right-hand bat
RR Raje,20,1,18,111.11111111111111,20.0,Right-hand bat
LJ Wright,106,4,63,168.25396825396825,26.5,Right-hand bat
NJ Maddinson,20,3,21,95.23809523809524,6.666666666666667,Left-hand bat
RR Rossouw,53,6,51,103.92156862745098,8.833333333333334,Left-hand bat
KK Cooper,116,9,70,165.71428571428572,12.88888888888889,Right-hand bat
A Zampa,0,1,1,0.0,0.0,Right-hand bat
KAJ Roach,10,1,9,111.11111111111111,10.0,Right-hand bat
VVS Laxman,281,16,271,103.69003690036901,17.5625,Right-hand bat
RS Bopara,531,19,468,113.46153846153847,27.94736842105263,Right-hand bat
Mohammed Shami,10,3,22,45.45454545454545,3.3333333333333335,Right-hand bat
P Awana,5,3,14,35.714285714285715,1.6666666666666667,Right-hand bat
Shoaib Malik,52,4,49,106.12244897959184,13.0,Right-hand bat
KL Rahul,725,26,592,122.46621621621621,27.884615384615383,Right-hand bat
VY Mahesh,15,2,28,53.57142857142857,7.5,Right-hand bat
WD Parnell,59,9,80,73.75,6.555555555555555,Left-hand bat
V Pratap Singh,0,1,1,0.0,0.0,Right-hand bat
MS Wade,22,3,33,66.66666666666667,7.333333333333333,Left-hand bat
DT Patil,13,1,13,100.0,13.0,Right-hand bat
CK Langeveldt,8,2,9,88.88888888888889,4.0,Right-hand bat
DAJ Bracewell,12,0,9,133.33333333333334,12.0,Right-hand bat
MR Marsh,225,12,201,111.94029850746269,18.75,Right-hand bat
KMDN Kulasekara,5,0,3,166.66666666666666,5.0,Right-hand bat
UT Khawaja,126,5,105,120.0,25.2,Left-hand bat
RR Sarwan,73,3,78,93.58974358974359,24.333333333333332,Right-hand bat
Anirudh Singh,63,4,69,91.30434782608695,15.75,Left-hand bat
CA Pujara,390,18,403,96.7741935483871,21.666666666666668,Right-hand bat
DH Yagnik,170,9,142,119.71830985915493,18.88888888888889,Left-hand bat
Q de Kock,726,25,566,128.26855123674912,29.04,Left-hand bat
Salman Butt,193,7,172,112.20930232558139,27.571428571428573,Left-hand bat
S Ladda,0,2,10,0.0,0.0,Right-hand bat
N Rana,104,3,78,133.33333333333334,34.666666666666664,Left-hand bat
J Botha,407,22,364,111.81318681318682,18.5,Right-hand bat
DA Miller,1479,41,1052,140.5893536121673,36.073170731707314,Left-hand bat
RT Ponting,91,8,129,70.54263565891473,11.375,Right-hand bat
AB McDonald,123,5,103,119.41747572815534,24.6,Right-hand bat
KP Appanna,1,1,4,25.0,1.0,Right-hand bat
MJ Clarke,97,6,96,101.04166666666667,16.166666666666668,Right-hand bat
BA Bhatt,6,0,7,85.71428571428571,6.0,Left-hand bat
J Arunkumar,23,3,24,95.83333333333333,7.666666666666667,Right-hand bat
AG Paunikar,49,5,61,80.32786885245902,9.8,Right-hand bat
Misbah-ul-Haq,116,9,82,141.46341463414635,12.88888888888889,Right-hand bat
AD Nath,20,3,27,74.07407407407408,6.666666666666667,Right-hand bat
T Kohli,10,3,20,50.0,3.3333333333333335,Right-hand bat
Mandeep Singh,923,46,760,121.44736842105263,20.065217391304348,Right-hand bat
M de Lange,1,1,2,50.0,1.0,Right-hand bat
GJ Maxwell,918,40,593,154.80607082630692,22.95,Right-hand bat
AA Jhunjhunwala,215,14,218,98.62385321100918,15.357142857142858,Right-hand bat
YA Abdulla,0,0,1,0.0,0.0,Left-hand bat
LR Shukla,403,29,358,112.56983240223464,13.89655172413793,Right-hand bat
AG Murtaza,10,1,14,71.42857142857143,10.0,Left-hand bat
RJ Peterson,31,3,32,96.875,10.333333333333334,Left-hand bat
SN Khan,175,8,103,169.90291262135923,21.875,Right-hand bat
KK Nair,876,34,700,125.14285714285714,25.764705882352942,Right-hand bat
UT Yadav,83,8,82,101.21951219512195,10.375,Right-hand bat
RR Pant,197,7,155,127.09677419354838,28.142857142857142,Left-hand bat
PR Shah,92,8,97,94.84536082474227,11.5,Right-hand bat
R Rampaul,51,5,52,98.07692307692308,10.2,Left-hand bat
RN ten Doeschate,324,17,238,136.1344537815126,19.058823529411764,Right-hand bat
YS Chahal,2,0,3,66.66666666666667,2.0,Right-hand bat
KD Karthik,2537,112,2092,121.27151051625239,22.651785714285715,Right-hand bat
A Mukund,19,2,23,82.6086956521739,9.5,Left-hand bat
DJ Harris,111,3,103,107.76699029126213,37.0,Right-hand bat
MA Agarwal,788,44,663,118.85369532428356,17.90909090909091,Right-hand bat
DB Das,304,12,267,113.85767790262172,25.333333333333332,Right-hand bat
JDS Neesham,42,3,46,91.30434782608695,14.0,Left-hand bat
S Randiv,2,1,4,50.0,2.0,Right-hand bat
Bipul Sharma,155,5,99,156.56565656565655,31.0,Left-hand bat
JP Faulkner,473,22,345,137.1014492753623,21.5,Right-hand bat
Swapnil Singh,0,1,1,0.0,0.0,Right-hand bat
